SimTime, SysTime, NodeID, BlockID, ParentID, Height, BlockContent, EvtType, Difficulty, Cycles
865968,1700526397598,2,3,-1,0,{21;13;53;28;54;60},Node Completes Validation,1.0E17,9.976098207817383E9
872910,1700526397601,1,3,-1,1,{21;13;53;28;54;60},Node Receives Propagated Block,-1.0,-1.0
873302,1700526397602,3,3,-1,1,{21;13;53;28;54;60},Node Receives Propagated Block,-1.0,-1.0
3010948,1700526397602,3,5,-1,0,{21;13;53;28;54;60},Node Completes Validation,1.0E17,3.0451006558125E10
3010948,1700526397602,3,5,-1,0,{21;13;53;28;54;60},Discarding own Block (ERROR),1.0E17,3.0451006558125E10
6107825,1700526397603,1,7,-1,0,{21;13;53;28;54;60},Node Completes Validation,1.0E17,7.976118903120703E10
6107825,1700526397603,1,7,-1,0,{21;13;53;28;54;60},Discarding own Block (ERROR),1.0E17,7.976118903120703E10
7791349,1700526397604,1,9,-1,0,{82;63;30;11;94},Node Completes Validation,1.0E17,2.1988431336945312E10
7791349,1700526397604,1,9,3,2,{82;63;30;11;94},Appended On Chain (parentless),1.0E17,2.1988431336945312E10
7798725,1700526397606,3,9,3,2,{82;63;30;11;94},Node Receives Propagated Block,-1.0,-1.0
7798725,1700526397606,3,9,3,2,{82;63;30;11;94},Appended On Chain (w/ parent),-1.0,-1.0
7799369,1700526397607,2,9,3,2,{82;63;30;11;94},Node Receives Propagated Block,-1.0,-1.0
7799369,1700526397607,2,9,3,2,{82;63;30;11;94},Appended On Chain (w/ parent),-1.0,-1.0
13369698,1700526397607,1,11,-1,0,{72;26;37;73;87},Node Completes Validation,1.0E17,7.285856569910352E10
13369698,1700526397607,1,11,9,3,{72;26;37;73;87},Appended On Chain (parentless),1.0E17,7.285856569910352E10
13376982,1700526397609,3,11,9,3,{72;26;37;73;87},Node Receives Propagated Block,-1.0,-1.0
13376982,1700526397609,3,11,9,3,{72;26;37;73;87},Appended On Chain (w/ parent),-1.0,-1.0
13377617,1700526397609,2,11,9,3,{72;26;37;73;87},Node Receives Propagated Block,-1.0,-1.0
13377617,1700526397609,2,11,9,3,{72;26;37;73;87},Appended On Chain (w/ parent),-1.0,-1.0
14286995,1700526397611,2,13,-1,0,{82;63;30;11;94},Node Completes Validation,1.0E17,1.547256073101963E11
14286995,1700526397611,2,13,-1,0,{82;63;30;11;94},Discarding own Block (ERROR),1.0E17,1.547256073101963E11
17645163,1700526397612,3,15,-1,0,{82;63;30;11;94},Node Completes Validation,1.0E17,1.48008621233125E11
17645163,1700526397612,3,15,-1,0,{82;63;30;11;94},Discarding own Block (ERROR),1.0E17,1.48008621233125E11
22653767,1700526397612,1,17,-1,0,{16;77;52;38;44},Node Completes Validation,1.0E17,1.2125880815121289E11
22653767,1700526397612,1,17,11,4,{16;77;52;38;44},Appended On Chain (parentless),1.0E17,1.2125880815121289E11
22661608,1700526397613,3,17,11,4,{16;77;52;38;44},Node Receives Propagated Block,-1.0,-1.0
22661608,1700526397613,3,17,11,4,{16;77;52;38;44},Appended On Chain (w/ parent),-1.0,-1.0
22662291,1700526397614,2,17,11,4,{16;77;52;38;44},Node Receives Propagated Block,-1.0,-1.0
22662291,1700526397614,2,17,11,4,{16;77;52;38;44},Appended On Chain (w/ parent),-1.0,-1.0
23362234,1700526397614,1,19,-1,0,{93;46;35;91;49},Node Completes Validation,1.0E17,9.253255661333984E9
23362234,1700526397614,1,19,17,5,{93;46;35;91;49},Appended On Chain (parentless),1.0E17,9.253255661333984E9
23369850,1700526397615,3,19,17,5,{93;46;35;91;49},Node Receives Propagated Block,-1.0,-1.0
23369850,1700526397615,3,19,17,5,{93;46;35;91;49},Appended On Chain (w/ parent),-1.0,-1.0
23370514,1700526397616,2,19,17,5,{93;46;35;91;49},Node Receives Propagated Block,-1.0,-1.0
23370514,1700526397616,2,19,17,5,{93;46;35;91;49},Appended On Chain (w/ parent),-1.0,-1.0
23741760,1700526397617,2,21,-1,0,{72;26;37;73;87},Node Completes Validation,1.0E17,1.0900017238622559E11
23741760,1700526397617,2,21,-1,0,{72;26;37;73;87},Discarding own Block (ERROR),1.0E17,1.0900017238622559E11
25746814,1700526397618,1,23,-1,0,{48;17;43;25;76},Node Completes Validation,1.0E17,3.1144892260195312E10
25746814,1700526397618,1,23,19,6,{48;17;43;25;76},Appended On Chain (parentless),1.0E17,3.1144892260195312E10
25754266,1700526397619,3,23,19,6,{48;17;43;25;76},Node Receives Propagated Block,-1.0,-1.0
25754266,1700526397619,3,23,19,6,{48;17;43;25;76},Appended On Chain (w/ parent),-1.0,-1.0
25754916,1700526397620,2,23,19,6,{48;17;43;25;76},Node Receives Propagated Block,-1.0,-1.0
25754916,1700526397620,2,23,19,6,{48;17;43;25;76},Appended On Chain (w/ parent),-1.0,-1.0
27362101,1700526397620,3,25,-1,0,{72;26;37;73;87},Node Completes Validation,1.0E17,9.827589631475E10
27362101,1700526397620,3,25,-1,0,{72;26;37;73;87},Discarding own Block (ERROR),1.0E17,9.827589631475E10
28425796,1700526397621,1,27,-1,0,{70;12;78;62;99;20},Node Completes Validation,1.0E17,3.499006355710547E10
