EventID, SimTime, SysTime, EventType, Node, Object
1,57,1700526397402,Event_NewTransactionArrival,3,1
2,118,1700526397522,Event_NewTransactionArrival,3,2
3,133,1700526397524,Event_NewTransactionArrival,3,3
4,139,1700526397524,Event_NewTransactionArrival,3,4
5,211,1700526397525,Event_NewTransactionArrival,2,5
6,220,1700526397525,Event_NewTransactionArrival,2,6
7,287,1700526397526,Event_NewTransactionArrival,3,7
8,633,1700526397526,Event_NewTransactionArrival,2,8
9,726,1700526397526,Event_NewTransactionArrival,3,9
10,820,1700526397527,Event_NewTransactionArrival,2,10
11,914,1700526397527,Event_TransactionPropagation,1,1
12,920,1700526397528,Event_TransactionPropagation,1,2
13,966,1700526397528,Event_NewTransactionArrival,2,11
14,983,1700526397528,Event_TransactionPropagation,1,4
15,983,1700526397528,Event_TransactionPropagation,1,5
16,994,1700526397529,Event_NewTransactionArrival,1,12
17,1027,1700526397529,Event_TransactionPropagation,3,5
18,1030,1700526397529,Event_TransactionPropagation,1,3
19,1039,1700526397530,Event_TransactionPropagation,2,2
20,1041,1700526397530,Event_TransactionPropagation,2,1
21,1104,1700526397530,Event_TransactionPropagation,1,6
22,1108,1700526397530,Event_TransactionPropagation,2,4
23,1154,1700526397530,Event_TransactionPropagation,3,6
24,1155,1700526397531,Event_NewTransactionArrival,3,13
25,1164,1700526397531,Event_TransactionPropagation,2,3
26,1270,1700526397531,Event_NewTransactionArrival,3,14
27,1395,1700526397531,Event_NewTransactionArrival,1,15
28,1410,1700526397532,Event_TransactionPropagation,1,7
29,1567,1700526397532,Event_TransactionPropagation,1,8
30,1571,1700526397533,Event_TransactionPropagation,3,12
31,1576,1700526397533,Event_TransactionPropagation,2,7
32,1620,1700526397533,Event_TransactionPropagation,3,8
33,1621,1700526397533,Event_TransactionPropagation,2,12
34,1678,1700526397534,Event_NewTransactionArrival,2,16
35,1697,1700526397534,Event_TransactionPropagation,1,9
36,1749,1700526397534,Event_NewTransactionArrival,3,17
37,1780,1700526397535,Event_TransactionPropagation,1,11
38,1781,1700526397535,Event_TransactionPropagation,1,13
39,1826,1700526397535,Event_TransactionPropagation,3,11
40,1841,1700526397535,Event_TransactionPropagation,2,9
41,1874,1700526397535,Event_TransactionPropagation,2,13
42,1918,1700526397535,Event_TransactionPropagation,1,10
43,1980,1700526397536,Event_TransactionPropagation,3,10
44,2136,1700526397536,Event_NewTransactionArrival,2,18
45,2207,1700526397536,Event_NewTransactionArrival,3,19
46,2239,1700526397536,Event_TransactionPropagation,1,14
47,2242,1700526397537,Event_NewTransactionArrival,3,20
48,2383,1700526397537,Event_TransactionPropagation,2,14
49,2513,1700526397538,Event_TransactionPropagation,3,15
50,2517,1700526397538,Event_NewTransactionArrival,2,21
51,2570,1700526397538,Event_TransactionPropagation,1,17
52,2574,1700526397539,Event_TransactionPropagation,1,16
53,2611,1700526397539,Event_TransactionPropagation,2,15
54,2625,1700526397539,Event_TransactionPropagation,3,16
55,2688,1700526397539,Event_NewTransactionArrival,1,22
56,2693,1700526397540,Event_TransactionPropagation,2,17
57,2785,1700526397540,Event_NewTransactionArrival,2,23
58,2816,1700526397540,Event_TransactionPropagation,1,19
59,2907,1700526397540,Event_TransactionPropagation,2,19
60,2965,1700526397540,Event_TransactionPropagation,1,20
61,3073,1700526397541,Event_TransactionPropagation,2,20
62,3187,1700526397541,Event_TransactionPropagation,1,21
63,3225,1700526397541,Event_TransactionPropagation,3,21
64,3233,1700526397541,Event_NewTransactionArrival,1,24
65,3290,1700526397541,Event_NewTransactionArrival,1,25
66,3293,1700526397542,Event_NewTransactionArrival,1,26
67,3306,1700526397542,Event_TransactionPropagation,1,18
68,3306,1700526397542,Event_NewTransactionArrival,3,27
69,3372,1700526397542,Event_TransactionPropagation,3,18
70,3490,1700526397542,Event_TransactionPropagation,3,22
71,3530,1700526397542,Event_NewTransactionArrival,1,28
72,3560,1700526397543,Event_TransactionPropagation,2,22
73,3616,1700526397543,Event_NewTransactionArrival,1,29
74,3637,1700526397543,Event_TransactionPropagation,1,23
75,3685,1700526397543,Event_TransactionPropagation,3,23
76,3949,1700526397544,Event_NewTransactionArrival,1,30
77,3959,1700526397544,Event_NewTransactionArrival,3,31
78,3978,1700526397544,Event_NewTransactionArrival,2,32
79,3991,1700526397545,Event_TransactionPropagation,3,24
80,4003,1700526397545,Event_NewTransactionArrival,2,33
81,4006,1700526397545,Event_NewTransactionArrival,2,34
82,4023,1700526397545,Event_NewTransactionArrival,2,35
83,4041,1700526397546,Event_NewTransactionArrival,2,36
84,4057,1700526397546,Event_TransactionPropagation,2,24
85,4077,1700526397546,Event_TransactionPropagation,3,28
86,4087,1700526397546,Event_NewTransactionArrival,2,37
87,4103,1700526397547,Event_TransactionPropagation,3,25
88,4125,1700526397547,Event_TransactionPropagation,2,28
89,4139,1700526397547,Event_NewTransactionArrival,2,38
90,4174,1700526397547,Event_TransactionPropagation,2,25
91,4182,1700526397548,Event_TransactionPropagation,3,26
92,4199,1700526397548,Event_TransactionPropagation,1,27
93,4260,1700526397548,Event_TransactionPropagation,2,26
94,4260,1700526397548,Event_NewTransactionArrival,3,39
95,4332,1700526397548,Event_TransactionPropagation,2,27
96,4364,1700526397548,Event_TransactionPropagation,3,29
97,4430,1700526397549,Event_TransactionPropagation,2,29
98,4607,1700526397549,Event_TransactionPropagation,3,30
99,4641,1700526397549,Event_NewTransactionArrival,3,40
100,4665,1700526397549,Event_TransactionPropagation,2,30
101,4735,1700526397550,Event_TransactionPropagation,1,34
102,4750,1700526397550,Event_TransactionPropagation,1,31
103,4777,1700526397550,Event_TransactionPropagation,3,34
104,4794,1700526397550,Event_TransactionPropagation,1,37
105,4832,1700526397550,Event_TransactionPropagation,1,38
106,4834,1700526397551,Event_TransactionPropagation,3,37
107,4852,1700526397551,Event_TransactionPropagation,1,36
108,4857,1700526397551,Event_NewTransactionArrival,1,41
109,4867,1700526397551,Event_TransactionPropagation,2,31
110,4871,1700526397552,Event_TransactionPropagation,3,38
111,4897,1700526397552,Event_TransactionPropagation,3,36
112,4972,1700526397552,Event_TransactionPropagation,1,32
113,4983,1700526397552,Event_TransactionPropagation,1,35
114,4991,1700526397552,Event_TransactionPropagation,1,39
115,5011,1700526397553,Event_NewTransactionArrival,1,42
116,5028,1700526397553,Event_TransactionPropagation,3,32
117,5032,1700526397553,Event_TransactionPropagation,1,33
118,5038,1700526397553,Event_TransactionPropagation,3,35
119,5090,1700526397553,Event_TransactionPropagation,3,33
120,5100,1700526397554,Event_TransactionPropagation,2,39
121,5233,1700526397554,Event_TransactionPropagation,1,40
122,5301,1700526397554,Event_NewTransactionArrival,1,43
123,5321,1700526397554,Event_TransactionPropagation,2,40
124,5468,1700526397555,Event_NewTransactionArrival,1,44
125,5540,1700526397555,Event_NewTransactionArrival,2,45
126,5700,1700526397555,Event_TransactionPropagation,3,41
127,5770,1700526397555,Event_NewTransactionArrival,1,46
128,5773,1700526397556,Event_TransactionPropagation,2,41
129,5800,1700526397556,Event_NewTransactionArrival,1,47
130,5920,1700526397557,Event_TransactionPropagation,3,42
131,5999,1700526397557,Event_TransactionPropagation,2,42
132,6037,1700526397557,Event_TransactionPropagation,3,43
133,6101,1700526397557,Event_TransactionPropagation,2,43
134,6209,1700526397557,Event_NewTransactionArrival,3,48
135,6268,1700526397557,Event_TransactionPropagation,3,44
136,6338,1700526397558,Event_TransactionPropagation,2,44
137,6369,1700526397558,Event_NewTransactionArrival,3,49
138,6442,1700526397558,Event_TransactionPropagation,1,45
139,6481,1700526397558,Event_TransactionPropagation,3,47
140,6486,1700526397558,Event_TransactionPropagation,3,46
141,6493,1700526397559,Event_TransactionPropagation,3,45
142,6540,1700526397559,Event_TransactionPropagation,2,47
143,6548,1700526397559,Event_TransactionPropagation,2,46
144,6819,1700526397559,Event_TransactionPropagation,1,48
145,6897,1700526397559,Event_NewTransactionArrival,3,50
146,6910,1700526397560,Event_TransactionPropagation,2,48
147,6970,1700526397560,Event_NewTransactionArrival,1,51
148,7095,1700526397560,Event_TransactionPropagation,1,49
149,7203,1700526397561,Event_TransactionPropagation,2,49
150,7232,1700526397561,Event_NewTransactionArrival,3,52
151,7360,1700526397561,Event_NewTransactionArrival,3,53
152,7420,1700526397561,Event_NewTransactionArrival,1,54
153,7494,1700526397562,Event_NewTransactionArrival,1,55
154,7559,1700526397562,Event_NewTransactionArrival,1,56
155,7578,1700526397562,Event_NewTransactionArrival,2,57
156,7726,1700526397563,Event_NewTransactionArrival,3,58
157,7745,1700526397563,Event_TransactionPropagation,1,50
158,7761,1700526397563,Event_NewTransactionArrival,1,59
159,7800,1700526397563,Event_TransactionPropagation,3,51
160,7830,1700526397564,Event_NewTransactionArrival,2,60
161,7871,1700526397564,Event_TransactionPropagation,2,50
162,7872,1700526397564,Event_TransactionPropagation,2,51
163,7942,1700526397564,Event_NewTransactionArrival,1,61
164,8113,1700526397565,Event_TransactionPropagation,1,52
165,8127,1700526397565,Event_NewTransactionArrival,3,62
166,8167,1700526397565,Event_TransactionPropagation,1,53
167,8181,1700526397570,Event_TransactionPropagation,3,54
168,8243,1700526397570,Event_TransactionPropagation,2,52
169,8247,1700526397571,Event_TransactionPropagation,2,54
170,8260,1700526397571,Event_TransactionPropagation,1,57
171,8287,1700526397571,Event_TransactionPropagation,2,53
172,8299,1700526397572,Event_TransactionPropagation,3,57
173,8307,1700526397572,Event_TransactionPropagation,3,55
174,8319,1700526397572,Event_TransactionPropagation,3,56
175,8378,1700526397572,Event_TransactionPropagation,2,55
176,8385,1700526397572,Event_TransactionPropagation,2,56
177,8386,1700526397572,Event_NewTransactionArrival,1,63
178,8462,1700526397573,Event_NewTransactionArrival,2,64
179,8530,1700526397573,Event_TransactionPropagation,1,60
180,8570,1700526397574,Event_TransactionPropagation,3,60
181,8628,1700526397574,Event_TransactionPropagation,1,58
182,8670,1700526397574,Event_TransactionPropagation,3,59
183,8749,1700526397574,Event_TransactionPropagation,2,59
184,8753,1700526397575,Event_TransactionPropagation,1,62
185,8762,1700526397575,Event_TransactionPropagation,2,58
186,8846,1700526397575,Event_TransactionPropagation,2,62
187,8862,1700526397575,Event_NewTransactionArrival,2,65
188,8868,1700526397576,Event_TransactionPropagation,3,61
189,8887,1700526397576,Event_NewTransactionArrival,3,66
190,8948,1700526397576,Event_TransactionPropagation,2,61
191,8955,1700526397576,Event_NewTransactionArrival,2,67
192,9038,1700526397577,Event_NewTransactionArrival,3,68
193,9053,1700526397577,Event_TransactionPropagation,3,63
194,9066,1700526397577,Event_NewTransactionArrival,1,69
195,9111,1700526397577,Event_TransactionPropagation,2,63
196,9140,1700526397577,Event_NewTransactionArrival,2,70
197,9179,1700526397578,Event_NewTransactionArrival,3,71
198,9324,1700526397578,Event_NewTransactionArrival,1,72
199,9415,1700526397578,Event_NewTransactionArrival,2,73
200,9459,1700526397579,Event_TransactionPropagation,1,64
201,9471,1700526397579,Event_NewTransactionArrival,1,74
202,9516,1700526397579,Event_TransactionPropagation,3,64
203,9525,1700526397579,Event_NewTransactionArrival,2,75
204,9665,1700526397579,Event_TransactionPropagation,1,67
205,9705,1700526397580,Event_TransactionPropagation,3,67
206,9823,1700526397580,Event_TransactionPropagation,1,71
207,9845,1700526397580,Event_TransactionPropagation,1,66
208,9919,1700526397580,Event_TransactionPropagation,2,71
209,9959,1700526397580,Event_TransactionPropagation,1,65
210,9973,1700526397580,Event_TransactionPropagation,3,69
211,9980,1700526397580,Event_TransactionPropagation,1,70
212,9987,1700526397580,Event_TransactionPropagation,2,66
213,9989,1700526397580,Event_TransactionPropagation,1,68
214,10013,1700526397580,Event_TransactionPropagation,3,72
215,10021,1700526397580,Event_TransactionPropagation,3,65
216,10027,1700526397581,Event_TransactionPropagation,3,70
217,10052,1700526397581,Event_TransactionPropagation,2,69
218,10073,1700526397581,Event_TransactionPropagation,2,72
219,10084,1700526397581,Event_NewTransactionArrival,3,76
220,10130,1700526397581,Event_TransactionPropagation,2,68
221,10138,1700526397581,Event_NewTransactionArrival,1,77
222,10190,1700526397582,Event_TransactionPropagation,1,73
223,10210,1700526397582,Event_NewTransactionArrival,3,78
224,10234,1700526397582,Event_TransactionPropagation,3,73
225,10356,1700526397582,Event_NewTransactionArrival,1,79
226,10402,1700526397582,Event_TransactionPropagation,3,74
227,10483,1700526397583,Event_TransactionPropagation,2,74
228,10507,1700526397583,Event_NewTransactionArrival,3,80
229,10513,1700526397583,Event_TransactionPropagation,1,75
230,10515,1700526397583,Event_NewTransactionArrival,3,81
231,10546,1700526397583,Event_NewTransactionArrival,3,82
232,10569,1700526397583,Event_TransactionPropagation,3,75
233,10750,1700526397584,Event_NewTransactionArrival,2,83
234,10830,1700526397584,Event_TransactionPropagation,1,76
235,10843,1700526397584,Event_NewTransactionArrival,1,84
236,10916,1700526397584,Event_TransactionPropagation,3,77
237,10940,1700526397584,Event_TransactionPropagation,2,76
238,10945,1700526397584,Event_NewTransactionArrival,2,85
239,10964,1700526397585,Event_TransactionPropagation,1,78
240,10984,1700526397585,Event_TransactionPropagation,2,77
241,11076,1700526397585,Event_TransactionPropagation,2,78
242,11086,1700526397585,Event_NewTransactionArrival,1,86
243,11165,1700526397586,Event_TransactionPropagation,3,79
244,11211,1700526397586,Event_TransactionPropagation,1,81
245,11235,1700526397587,Event_TransactionPropagation,2,79
246,11315,1700526397587,Event_TransactionPropagation,2,81
247,11341,1700526397587,Event_NewTransactionArrival,2,87
248,11429,1700526397587,Event_TransactionPropagation,1,82
249,11439,1700526397587,Event_NewTransactionArrival,2,88
250,11507,1700526397588,Event_TransactionPropagation,1,80
251,11561,1700526397588,Event_TransactionPropagation,2,82
252,11656,1700526397589,Event_TransactionPropagation,2,80
253,11715,1700526397589,Event_TransactionPropagation,3,84
254,11721,1700526397589,Event_TransactionPropagation,1,83
255,11722,1700526397589,Event_TransactionPropagation,1,85
256,11766,1700526397589,Event_TransactionPropagation,3,85
257,11776,1700526397589,Event_TransactionPropagation,3,83
258,11791,1700526397590,Event_TransactionPropagation,2,84
259,11796,1700526397590,Event_TransactionPropagation,3,86
260,11858,1700526397590,Event_TransactionPropagation,2,86
261,11917,1700526397590,Event_NewTransactionArrival,3,89
262,11990,1700526397590,Event_NewTransactionArrival,3,90
263,11996,1700526397591,Event_TransactionPropagation,1,88
264,12027,1700526397591,Event_TransactionPropagation,3,88
265,12103,1700526397591,Event_TransactionPropagation,1,87
266,12128,1700526397591,Event_NewTransactionArrival,2,91
267,12146,1700526397591,Event_TransactionPropagation,3,87
268,12157,1700526397592,Event_NewTransactionArrival,3,92
269,12262,1700526397592,Event_NewTransactionArrival,1,93
270,12326,1700526397592,Event_NewTransactionArrival,2,94
271,12593,1700526397593,Event_NewTransactionArrival,1,95
272,12681,1700526397593,Event_TransactionPropagation,1,90
273,12682,1700526397593,Event_TransactionPropagation,1,89
274,12783,1700526397593,Event_TransactionPropagation,2,90
275,12796,1700526397593,Event_TransactionPropagation,2,89
276,12843,1700526397594,Event_NewTransactionArrival,3,96
277,12855,1700526397594,Event_NewTransactionArrival,2,97
278,12911,1700526397594,Event_NewTransactionArrival,3,98
279,12951,1700526397594,Event_TransactionPropagation,3,93
280,12991,1700526397595,Event_TransactionPropagation,1,91
281,13009,1700526397595,Event_TransactionPropagation,1,92
282,13011,1700526397595,Event_TransactionPropagation,2,93
283,13033,1700526397595,Event_NewTransactionArrival,2,99
284,13039,1700526397595,Event_TransactionPropagation,3,91
285,13121,1700526397595,Event_TransactionPropagation,1,94
286,13125,1700526397596,Event_NewTransactionArrival,3,100
287,13136,1700526397596,Event_TransactionPropagation,2,92
288,13166,1700526397596,Event_TransactionPropagation,3,94
289,13566,1700526397596,Event_TransactionPropagation,3,95
290,13651,1700526397596,Event_TransactionPropagation,2,95
291,13805,1700526397596,Event_TransactionPropagation,1,97
292,13833,1700526397597,Event_TransactionPropagation,1,99
293,13852,1700526397597,Event_TransactionPropagation,1,100
294,13858,1700526397597,Event_TransactionPropagation,3,97
295,13864,1700526397597,Event_TransactionPropagation,1,96
296,13878,1700526397597,Event_TransactionPropagation,3,99
297,13915,1700526397597,Event_TransactionPropagation,1,98
298,13960,1700526397597,Event_TransactionPropagation,2,100
299,14016,1700526397597,Event_TransactionPropagation,2,96
300,14065,1700526397598,Event_TransactionPropagation,2,98
301,865968,1700526397601,Event_ContainerValidation,2,3
302,872910,1700526397602,Event_ContainerArrival,1,3
303,873302,1700526397602,Event_ContainerArrival,3,3
304,3010948,1700526397603,Event_ContainerValidation,3,5
305,6107825,1700526397604,Event_ContainerValidation,1,7
306,7791349,1700526397606,Event_ContainerValidation,1,9
307,7798725,1700526397607,Event_ContainerArrival,3,9
308,7799369,1700526397607,Event_ContainerArrival,2,9
309,13369698,1700526397609,Event_ContainerValidation,1,11
310,13376982,1700526397609,Event_ContainerArrival,3,11
311,13377617,1700526397611,Event_ContainerArrival,2,11
312,14286995,1700526397612,Event_ContainerValidation,2,13
313,17645163,1700526397612,Event_ContainerValidation,3,15
314,22653767,1700526397613,Event_ContainerValidation,1,17
315,22661608,1700526397614,Event_ContainerArrival,3,17
316,22662291,1700526397614,Event_ContainerArrival,2,17
317,23362234,1700526397615,Event_ContainerValidation,1,19
318,23369850,1700526397616,Event_ContainerArrival,3,19
319,23370514,1700526397617,Event_ContainerArrival,2,19
320,23741760,1700526397618,Event_ContainerValidation,2,21
321,25746814,1700526397619,Event_ContainerValidation,1,23
322,25754266,1700526397620,Event_ContainerArrival,3,23
323,25754916,1700526397620,Event_ContainerArrival,2,23
324,27362101,1700526397621,Event_ContainerValidation,3,25
325,28425796,1700526397622,Event_ContainerValidation,1,27
326,28434171,1700526397623,Event_ContainerArrival,3,27
327,28434902,1700526397623,Event_ContainerArrival,2,27
328,28702840,1700526397624,Event_ContainerValidation,1,29
329,28710470,1700526397625,Event_ContainerArrival,3,29
330,28711135,1700526397625,Event_ContainerArrival,2,29
331,28801578,1700526397626,Event_ContainerValidation,2,31
332,30458900,1700526397627,Event_ContainerValidation,1,33
333,30465610,1700526397627,Event_ContainerArrival,3,33
334,30466195,1700526397628,Event_ContainerArrival,2,33
