SimTime, SysTime, NodeID, BlockID, ParentID, Height, BlockContent, EvtType, Difficulty, Cycles
119500,1689185895081,1,3,-1,0,{21;13;53;28;54;60},Node Completes Validation,1.0E17,1.5479452129941406E9
126004,1689185895083,3,3,-1,1,{21;13;53;28;54;60},Node Receives Propagated Block,-1.0,-1.0
126572,1689185895083,2,3,-1,1,{21;13;53;28;54;60},Node Receives Propagated Block,-1.0,-1.0
8901250,1689185895083,3,5,-1,0,{82;63;30;11;94},Node Completes Validation,1.0E17,9.0024784698375E10
8901250,1689185895083,3,5,3,2,{82;63;30;11;94},Appended On Chain (parentless),1.0E17,9.0024784698375E10
8907494,1689185895084,1,5,3,2,{82;63;30;11;94},Node Receives Propagated Block,-1.0,-1.0
8907494,1689185895084,1,5,3,2,{82;63;30;11;94},Appended On Chain (w/ parent),-1.0,-1.0
8908423,1689185895084,2,5,3,2,{82;63;30;11;94},Node Receives Propagated Block,-1.0,-1.0
8908423,1689185895084,2,5,3,2,{82;63;30;11;94},Appended On Chain (w/ parent),-1.0,-1.0
9190396,1689185895084,3,7,-1,0,{72;26;37;73;87},Node Completes Validation,1.0E17,2.92438650075E9
9190396,1689185895084,3,7,5,3,{72;26;37;73;87},Appended On Chain (parentless),1.0E17,2.92438650075E9
9197680,1689185895084,1,7,5,3,{72;26;37;73;87},Node Receives Propagated Block,-1.0,-1.0
9197680,1689185895084,1,7,5,3,{72;26;37;73;87},Appended On Chain (w/ parent),-1.0,-1.0
9198763,1689185895084,2,7,5,3,{72;26;37;73;87},Node Receives Propagated Block,-1.0,-1.0
9198763,1689185895084,2,7,5,3,{72;26;37;73;87},Appended On Chain (w/ parent),-1.0,-1.0
10291439,1689185895085,1,9,-1,0,{16;77;52;38;44},Node Completes Validation,1.0E17,1.3285523833642773E11
10291439,1689185895085,1,9,7,4,{16;77;52;38;44},Appended On Chain (parentless),1.0E17,1.3285523833642773E11
10299048,1689185895085,3,9,7,4,{16;77;52;38;44},Node Receives Propagated Block,-1.0,-1.0
10299048,1689185895085,3,9,7,4,{16;77;52;38;44},Appended On Chain (w/ parent),-1.0,-1.0
10299711,1689185895085,2,9,7,4,{16;77;52;38;44},Node Receives Propagated Block,-1.0,-1.0
10299711,1689185895085,2,9,7,4,{16;77;52;38;44},Appended On Chain (w/ parent),-1.0,-1.0
15415134,1689185895085,3,11,-1,0,{93;46;35;91;49},Node Completes Validation,1.0E17,6.295622203975E10
15415134,1689185895085,3,11,9,5,{93;46;35;91;49},Appended On Chain (parentless),1.0E17,6.295622203975E10
15422862,1689185895085,1,11,9,5,{93;46;35;91;49},Node Receives Propagated Block,-1.0,-1.0
15422862,1689185895085,1,11,9,5,{93;46;35;91;49},Appended On Chain (w/ parent),-1.0,-1.0
15424011,1689185895086,2,11,9,5,{93;46;35;91;49},Node Receives Propagated Block,-1.0,-1.0
15424011,1689185895086,2,11,9,5,{93;46;35;91;49},Appended On Chain (w/ parent),-1.0,-1.0
17954845,1689185895086,2,13,-1,0,{48;17;43;25;76},Node Completes Validation,1.0E17,2.0698686884960547E11
17954845,1689185895086,2,13,11,6,{48;17;43;25;76},Appended On Chain (parentless),1.0E17,2.0698686884960547E11
17961487,1689185895086,1,13,11,6,{48;17;43;25;76},Node Receives Propagated Block,-1.0,-1.0
17961487,1689185895086,1,13,11,6,{48;17;43;25;76},Appended On Chain (w/ parent),-1.0,-1.0
17961862,1689185895086,3,13,11,6,{48;17;43;25;76},Node Receives Propagated Block,-1.0,-1.0
17961862,1689185895086,3,13,11,6,{48;17;43;25;76},Appended On Chain (w/ parent),-1.0,-1.0
18158058,1689185895086,2,15,-1,0,{70;12;78;62;99;20},Node Completes Validation,1.0E17,2.342760717069336E9
18158058,1689185895086,2,15,13,7,{70;12;78;62;99;20},Appended On Chain (parentless),1.0E17,2.342760717069336E9
18167164,1689185895087,1,15,13,7,{70;12;78;62;99;20},Node Receives Propagated Block,-1.0,-1.0
