SimTime, SysTime, NodeID, BlockID, ParentBlockID, Height, Content, Place
6038,16,1,22,21,7,{10;20}, blockchain
6038,16,1,25,23,6,{3;30;27;8;10}, blockchain
6038,16,1,24,18,6,{3;30;27;8;10}, blockchain
6038,16,1,21,20,6,{23;3;30;27;8}, blockchain
6038,16,1,23,13,5,{18;11;17;23}, blockchain
6038,16,1,20,19,5,{14;18;11;17}, blockchain
6038,16,1,18,17,5,{14;18;11;17}, blockchain
6038,16,1,19,5,4,{29;2;26;6}, blockchain
6038,16,1,17,4,4,{29;2;26;6}, blockchain
6038,16,1,13,10,4,{29;2;26;6}, blockchain
6038,16,1,10,6,3,{28;25;22;15;9}, blockchain
6038,16,1,5,6,3,{28;25;22;15;9}, blockchain
6038,16,1,4,6,3,{28;25;22;15;9}, blockchain
6038,16,1,6,1,2,{24;21;19;12;16}, blockchain
6038,16,1,1,-1,1,{5;13;7;4;1}, blockchain
6038,16,1,7,3,-1,{4;12;16;1;28}, orphans
6038,16,1,11,8,-1,{2;26;6;14}, orphans
6038,16,1,8,7,-1,{25;22;15;9;29}, orphans
6038,16,1,12,11,-1,{18;11;17;23}, orphans
6038,16,1,9,2,-1,{12;16;28;25;22}, orphans
6038,16,1,15,9,-1,{15;9;29;2;26}, orphans
6038,16,1,27,14,-1,{20}, orphans
6038,16,1,16,15,-1,{3;30;27;8;10}, orphans
6038,16,1,14,12,-1,{3;30;27;8;10}, orphans
6038,16,2,22,21,7,{10;20}, blockchain
6038,16,2,25,23,6,{3;30;27;8;10}, blockchain
6038,16,2,24,18,6,{3;30;27;8;10}, blockchain
6038,16,2,21,20,6,{23;3;30;27;8}, blockchain
6038,16,2,23,13,5,{18;11;17;23}, blockchain
6038,16,2,20,19,5,{14;18;11;17}, blockchain
6038,16,2,18,17,5,{14;18;11;17}, blockchain
6038,16,2,19,5,4,{29;2;26;6}, blockchain
6038,16,2,17,4,4,{29;2;26;6}, blockchain
6038,16,2,13,10,4,{29;2;26;6}, blockchain
6038,16,2,10,6,3,{28;25;22;15;9}, blockchain
6038,16,2,5,6,3,{28;25;22;15;9}, blockchain
6038,16,2,4,6,3,{28;25;22;15;9}, blockchain
6038,16,2,6,1,2,{24;21;19;12;16}, blockchain
6038,16,2,1,-1,1,{5;13;7;4;1}, blockchain
6038,16,2,7,3,-1,{4;12;16;1;28}, orphans
6038,16,2,11,8,-1,{2;26;6;14}, orphans
6038,16,2,8,7,-1,{25;22;15;9;29}, orphans
6038,16,2,12,11,-1,{18;11;17;23}, orphans
6038,16,2,9,2,-1,{12;16;28;25;22}, orphans
6038,16,2,15,9,-1,{15;9;29;2;26}, orphans
6038,16,2,27,14,-1,{20}, orphans
6038,16,2,16,15,-1,{3;30;27;8;10}, orphans
6038,16,2,14,12,-1,{3;30;27;8;10}, orphans
6038,16,3,27,14,7,{20}, blockchain
6038,16,3,14,12,6,{3;30;27;8;10}, blockchain
6038,16,3,12,11,5,{18;11;17;23}, blockchain
6038,16,3,11,8,4,{2;26;6;14}, blockchain
6038,16,3,8,7,3,{25;22;15;9;29}, blockchain
6038,16,3,7,3,2,{4;12;16;1;28}, blockchain
6038,16,3,3,-1,1,{24;5;21;13;7;19}, blockchain
6038,17,3,6,1,-1,{24;21;19;12;16}, orphans
6038,17,3,10,6,-1,{28;25;22;15;9}, orphans
6038,17,3,4,6,-1,{28;25;22;15;9}, orphans
6038,17,3,5,6,-1,{28;25;22;15;9}, orphans
6038,17,3,9,2,-1,{12;16;28;25;22}, orphans
6038,17,3,17,4,-1,{29;2;26;6}, orphans
6038,17,3,15,9,-1,{15;9;29;2;26}, orphans
6038,17,3,19,5,-1,{29;2;26;6}, orphans
6038,17,3,13,10,-1,{29;2;26;6}, orphans
6038,17,3,20,19,-1,{14;18;11;17}, orphans
6038,17,3,18,17,-1,{14;18;11;17}, orphans
6038,17,3,22,21,-1,{10;20}, orphans
