From (NodeID), To (NodeID), Bandwidth (bps), Time (ms from start)
1,2,24970.0,0
2,1,24970.0,0
1,3,25010.0,0
3,1,25010.0,0
1,4,25000.0,0
4,1,25000.0,0
1,5,25010.0,0
5,1,25010.0,0
2,3,25000.0,0
3,2,25000.0,0
2,4,24990.0,0
4,2,24990.0,0
2,5,25030.0,0
5,2,25030.0,0
3,4,25010.0,0
4,3,25010.0,0
3,5,25000.0,0
5,3,25000.0,0
4,5,25020.0,0
5,4,25020.0,0
