SimTime, SysTime, NodeID, BlockID, ParentID, Height, BlockContent, EvtType, Difficulty, Cycles
732330,1701289600816,1,3,-1,0,{21;13;53;28;54;60},Node Completes Validation,1.0E17,3.656735E10
738834,1701289600818,3,3,-1,1,{21;13;53;28;54;60},Node Receives Propagated Block,-1.0,-1.0
739402,1701289600818,2,3,-1,1,{21;13;53;28;54;60},Node Receives Propagated Block,-1.0,-1.0
1629810,1701289600818,1,5,-1,0,{82;63;30;11;94},Node Completes Validation,1.0E17,4.4874E10
1629810,1701289600818,1,5,3,2,{82;63;30;11;94},Appended On Chain (parentless),1.0E17,4.4874E10
1637186,1701289600820,3,5,3,2,{82;63;30;11;94},Node Receives Propagated Block,-1.0,-1.0
1637186,1701289600820,3,5,3,2,{82;63;30;11;94},Appended On Chain (w/ parent),-1.0,-1.0
1637830,1701289600820,2,5,3,2,{82;63;30;11;94},Node Receives Propagated Block,-1.0,-1.0
1637830,1701289600820,2,5,3,2,{82;63;30;11;94},Appended On Chain (w/ parent),-1.0,-1.0
2138014,1701289600821,1,7,-1,0,{72;26;37;73;87},Node Completes Validation,1.0E17,2.54102E10
2138014,1701289600821,1,7,5,3,{72;26;37;73;87},Appended On Chain (parentless),1.0E17,2.54102E10
2145298,1701289600821,3,7,5,3,{72;26;37;73;87},Node Receives Propagated Block,-1.0,-1.0
2145298,1701289600821,3,7,5,3,{72;26;37;73;87},Appended On Chain (w/ parent),-1.0,-1.0
2145933,1701289600821,2,7,5,3,{72;26;37;73;87},Node Receives Propagated Block,-1.0,-1.0
2145933,1701289600821,2,7,5,3,{72;26;37;73;87},Appended On Chain (w/ parent),-1.0,-1.0
2299196,1701289600822,1,9,-1,0,{16;77;52;38;44},Node Completes Validation,1.0E17,8.0591E9
2299196,1701289600822,1,9,7,4,{16;77;52;38;44},Appended On Chain (parentless),1.0E17,8.0591E9
2307037,1701289600822,3,9,7,4,{16;77;52;38;44},Node Receives Propagated Block,-1.0,-1.0
2307037,1701289600822,3,9,7,4,{16;77;52;38;44},Appended On Chain (w/ parent),-1.0,-1.0
2307720,1701289600822,2,9,7,4,{16;77;52;38;44},Node Receives Propagated Block,-1.0,-1.0
2307720,1701289600822,2,9,7,4,{16;77;52;38;44},Appended On Chain (w/ parent),-1.0,-1.0
2537302,1701289600823,1,11,-1,0,{93;46;35;91;49},Node Completes Validation,1.0E17,1.19053E10
