SimTime, SysTime, NodeID, BlockID, ParentID, Height, BlockContent, EvtType, Difficulty, Cycles
1376,1701358851572,1,3,-1,0,{12;5;1;4;2},Node Completes Validation,1.0E17,1.965E10
2910,1701358851579,1,5,-1,0,{13;11;16;17;14},Node Completes Validation,1.0E17,7.575E10
2910,1701358851579,1,5,3,2,{13;11;16;17;14},Appended On Chain (parentless),1.0E17,7.575E10
5872,1701358851592,1,7,-1,0,{21;28;30;26;37;38},Node Completes Validation,1.0E17,1.481E11
5872,1701358851592,1,7,5,3,{21;28;30;26;37;38},Appended On Chain (parentless),1.0E17,1.481E11
6260,1701358851594,1,9,-1,0,{44;46;35;43;25},Node Completes Validation,1.0E17,1.94E10
6260,1701358851594,1,9,7,4,{44;46;35;43;25},Appended On Chain (parentless),1.0E17,1.94E10
7476,1701358851596,1,11,-1,0,{54;49;48;20;39},Node Completes Validation,1.0E17,6.08E10
7476,1701358851596,1,11,9,5,{54;49;48;20;39},Appended On Chain (parentless),1.0E17,6.08E10
7668,1701358851598,3,3,-1,1,{12;5;1;4;2},Node Receives Propagated Block,-1.0,-1.0
8217,1701358851600,2,3,-1,1,{12;5;1;4;2},Node Receives Propagated Block,-1.0,-1.0
9728,1701358851606,3,5,3,2,{13;11;16;17;14},Node Receives Propagated Block,-1.0,-1.0
9728,1701358851606,3,5,3,2,{13;11;16;17;14},Appended On Chain (w/ parent),-1.0,-1.0
10207,1701358851608,1,13,-1,0,{53;60;63;72;73},Node Completes Validation,1.0E17,1.3655E11
10207,1701358851608,1,13,11,6,{53;60;63;72;73},Appended On Chain (parentless),1.0E17,1.3655E11
10323,1701358851608,2,5,3,2,{13;11;16;17;14},Node Receives Propagated Block,-1.0,-1.0
10323,1701358851608,2,5,3,2,{13;11;16;17;14},Appended On Chain (w/ parent),-1.0,-1.0
11730,1701358851613,1,15,-1,0,{82;77;52;76;70},Node Completes Validation,1.0E17,7.615E10
11730,1701358851613,1,15,13,7,{82;77;52;76;70},Appended On Chain (parentless),1.0E17,7.615E10
12906,1701358851616,1,17,-1,0,{87;93;78;62;55},Node Completes Validation,1.0E17,5.88E10
12906,1701358851616,1,17,15,8,{87;93;78;62;55},Appended On Chain (parentless),1.0E17,5.88E10
12950,1701358851616,1,19,-1,0,{86;57;95;90;36},Node Completes Validation,1.0E17,2.2E9
12950,1701358851616,1,19,17,9,{86;57;95;90;36},Appended On Chain (parentless),1.0E17,2.2E9
13466,1701358851618,3,7,5,3,{21;28;30;26;37;38},Node Receives Propagated Block,-1.0,-1.0
13466,1701358851618,3,7,5,3,{21;28;30;26;37;38},Appended On Chain (w/ parent),-1.0,-1.0
14129,1701358851619,2,7,5,3,{21;28;30;26;37;38},Node Receives Propagated Block,-1.0,-1.0
14129,1701358851619,2,7,5,3,{21;28;30;26;37;38},Appended On Chain (w/ parent),-1.0,-1.0
14157,1701358851619,3,9,7,4,{44;46;35;43;25},Node Receives Propagated Block,-1.0,-1.0
14157,1701358851619,3,9,7,4,{44;46;35;43;25},Appended On Chain (w/ parent),-1.0,-1.0
14846,1701358851620,2,9,7,4,{44;46;35;43;25},Node Receives Propagated Block,-1.0,-1.0
14846,1701358851620,2,9,7,4,{44;46;35;43;25},Appended On Chain (w/ parent),-1.0,-1.0
14964,1701358851620,3,11,9,5,{54;49;48;20;39},Node Receives Propagated Block,-1.0,-1.0
14964,1701358851620,3,11,9,5,{54;49;48;20;39},Appended On Chain (w/ parent),-1.0,-1.0
15617,1701358851620,2,11,9,5,{54;49;48;20;39},Node Receives Propagated Block,-1.0,-1.0
15617,1701358851620,2,11,9,5,{54;49;48;20;39},Appended On Chain (w/ parent),-1.0,-1.0
16188,1701358851621,1,21,-1,0,{94;91;99;59;61},Node Completes Validation,1.0E17,1.619E11
16188,1701358851621,1,21,19,10,{94;91;99;59;61},Appended On Chain (parentless),1.0E17,1.619E11
17118,1701358851621,3,13,11,6,{53;60;63;72;73},Node Receives Propagated Block,-1.0,-1.0
17118,1701358851621,3,13,11,6,{53;60;63;72;73},Appended On Chain (w/ parent),-1.0,-1.0
