NodeID, HashPower (GH/s), ElectricPower (W), ElectricityCost (USD/kWh), TotalCycles
1,13060.955,1386.7687,0.14744024,7.248151159914414E11
2,11528.597,1350.5317,0.06510195,3.221100403327666E11
3,10113.875,1416.3602,0.07063267,3.020774561385E11
