SimTime, SysTime, NodeID, BlockID, ParentID, Height, BlockContent, EvtType, Difficulty, Cycles
3274,1701359200665,1,3,-1,0,{21;13;11;16;17;12},Node Completes Validation,1.0E17,1.1455E11
4073,1701359200673,1,5,-1,0,{28;30;26;25;20},Node Completes Validation,1.0E17,3.995E10
4073,1701359200673,1,5,3,2,{28;30;26;25;20},Appended On Chain (parentless),1.0E17,3.995E10
4762,1701359200677,1,7,-1,0,{14;5;1;27},Node Completes Validation,1.0E17,3.445E10
4762,1701359200677,1,7,5,3,{14;5;1;27},Appended On Chain (parentless),1.0E17,3.445E10
5185,1701359200681,1,9,-1,0,{37;38;35;39;36},Node Completes Validation,1.0E17,2.115E10
5185,1701359200681,1,9,7,4,{37;38;35;39;36},Appended On Chain (parentless),1.0E17,2.115E10
6266,1701359200686,1,11,-1,0,{44;46;43;41;42},Node Completes Validation,1.0E17,5.405E10
6266,1701359200686,1,11,9,5,{44;46;43;41;42},Appended On Chain (parentless),1.0E17,5.405E10
7341,1701359200690,1,13,-1,0,{49;48;18;45;8},Node Completes Validation,1.0E17,5.375E10
7341,1701359200690,1,13,11,6,{49;48;18;45;8},Appended On Chain (parentless),1.0E17,5.375E10
7837,1701359200694,1,15,-1,0,{54;55;59;10},Node Completes Validation,1.0E17,2.48E10
7837,1701359200694,1,15,13,7,{54;55;59;10},Appended On Chain (parentless),1.0E17,2.48E10
8263,1701359200696,1,17,-1,0,{53;52;57;61;33},Node Completes Validation,1.0E17,2.13E10
8263,1701359200696,1,17,15,8,{53;52;57;61;33},Appended On Chain (parentless),1.0E17,2.13E10
9989,1701359200705,3,3,-1,1,{21;13;11;16;17;12},Node Receives Propagated Block,-1.0,-1.0
10575,1701359200710,2,3,-1,1,{21;13;11;16;17;12},Node Receives Propagated Block,-1.0,-1.0
11804,1701359200715,3,7,5,3,{14;5;1;27},Node Receives Propagated Block,-1.0,-1.0
11804,1701359200715,3,7,5,-1,{14;5;1;27},Added to Orphans,-1.0,-1.0
11822,1701359200716,3,5,3,2,{28;30;26;25;20},Node Receives Propagated Block,-1.0,-1.0
11822,1701359200716,3,5,3,2,{28;30;26;25;20},Appended On Chain (w/ parent),-1.0,-1.0
11804,1701359200715,3,7,5,3,{14;5;1;27},Appended On Chain (w/ parent),-1.0,-1.0
12105,1701359200717,1,19,-1,0,{60;82;63;72;73},Node Completes Validation,1.0E17,1.921E11
12105,1701359200717,1,19,17,9,{60;82;63;72;73},Appended On Chain (parentless),1.0E17,1.921E11
12391,1701359200720,1,21,-1,0,{87;77;93;76;70},Node Completes Validation,1.0E17,1.43E10
12391,1701359200720,1,21,19,10,{87;77;93;76;70},Appended On Chain (parentless),1.0E17,1.43E10
12418,1701359200720,2,7,5,3,{14;5;1;27},Node Receives Propagated Block,-1.0,-1.0
12418,1701359200720,2,7,5,-1,{14;5;1;27},Added to Orphans,-1.0,-1.0
12461,1701359200721,1,23,-1,0,{78;62;86;71;79},Node Completes Validation,1.0E17,3.5E9
12461,1701359200721,1,23,21,11,{78;62;86;71;79},Appended On Chain (parentless),1.0E17,3.5E9
12498,1701359200722,2,5,3,2,{28;30;26;25;20},Node Receives Propagated Block,-1.0,-1.0
