SimTime, SysTime, NodeID, BlockID, ParentID, Height, BlockContent, EvtType, Difficulty, Cycles
133,1699947321066,3,1,-1,0,{1;2;3},Node Completes Validation,1.0E8,0.0
633,1699947321071,2,3,-1,0,{5;8;6},Node Completes Validation,1.0E8,0.0
726,1699947321072,3,5,-1,0,{4;9;7},Node Completes Validation,1.0E8,0.0
726,1699947321072,3,5,1,2,{4;9;7},Appended On Chain (parentless),1.0E8,0.0
966,1699947321075,2,7,-1,0,{11;10},Node Completes Validation,1.0E8,0.0
966,1699947321075,2,7,3,2,{11;10},Appended On Chain (parentless),1.0E8,0.0
983,1699947321076,1,9,-1,0,{5;1;4;2},Node Completes Validation,1.0E8,0.0
1104,1699947321078,1,11,-1,0,{12;6;3},Node Completes Validation,1.0E8,0.0
1104,1699947321078,1,11,9,2,{12;6;3},Appended On Chain (parentless),1.0E8,0.0
1108,1699947321078,2,13,-1,0,{1;4;2},Node Completes Validation,1.0E8,0.0
1108,1699947321078,2,13,7,3,{1;4;2},Appended On Chain (parentless),1.0E8,0.0
1155,1699947321079,3,15,-1,0,{13;5;6},Node Completes Validation,1.0E8,0.0
1155,1699947321079,3,15,5,3,{13;5;6},Appended On Chain (parentless),1.0E8,0.0
1410,1699947321080,1,17,-1,0,{15;7},Node Completes Validation,1.0E8,0.0
1410,1699947321080,1,17,11,3,{15;7},Appended On Chain (parentless),1.0E8,0.0
1571,1699947321081,3,19,-1,0,{12;14},Node Completes Validation,1.0E8,0.0
1571,1699947321081,3,19,15,4,{12;14},Appended On Chain (parentless),1.0E8,0.0
1621,1699947321083,2,21,-1,0,{12;7;3},Node Completes Validation,1.0E8,0.0
1621,1699947321083,2,21,13,4,{12;7;3},Appended On Chain (parentless),1.0E8,0.0
1697,1699947321083,1,23,-1,0,{8;9},Node Completes Validation,1.0E8,0.0
1697,1699947321083,1,23,17,4,{8;9},Appended On Chain (parentless),1.0E8,0.0
1749,1699947321084,3,25,-1,0,{17;8},Node Completes Validation,1.0E8,0.0
1749,1699947321084,3,25,19,5,{17;8},Appended On Chain (parentless),1.0E8,0.0
1781,1699947321085,1,27,-1,0,{13;11},Node Completes Validation,1.0E8,0.0
1781,1699947321085,1,27,23,5,{13;11},Appended On Chain (parentless),1.0E8,0.0
1841,1699947321086,2,29,-1,0,{16;9},Node Completes Validation,1.0E8,0.0
1841,1699947321086,2,29,21,5,{16;9},Appended On Chain (parentless),1.0E8,0.0
1980,1699947321087,3,31,-1,0,{11;10},Node Completes Validation,1.0E8,0.0
1980,1699947321087,3,31,25,6,{11;10},Appended On Chain (parentless),1.0E8,0.0
2136,1699947321088,2,33,-1,0,{13;18},Node Completes Validation,1.0E8,0.0
2136,1699947321088,2,33,29,6,{13;18},Appended On Chain (parentless),1.0E8,0.0
2239,1699947321089,1,35,-1,0,{14;10},Node Completes Validation,1.0E8,0.0
2239,1699947321089,1,35,27,6,{14;10},Appended On Chain (parentless),1.0E8,0.0
2513,1699947321090,3,37,-1,0,{20;19;15},Node Completes Validation,1.0E8,0.0
2513,1699947321090,3,37,31,7,{20;19;15},Appended On Chain (parentless),1.0E8,0.0
2517,1699947321091,2,39,-1,0,{21;14},Node Completes Validation,1.0E8,0.0
2517,1699947321091,2,39,33,7,{21;14},Appended On Chain (parentless),1.0E8,0.0
2574,1699947321092,1,41,-1,0,{16;17},Node Completes Validation,1.0E8,0.0
2574,1699947321092,1,41,35,7,{16;17},Appended On Chain (parentless),1.0E8,0.0
2693,1699947321094,2,43,-1,0,{17;15},Node Completes Validation,1.0E8,0.0
2693,1699947321094,2,43,39,8,{17;15},Appended On Chain (parentless),1.0E8,0.0
2965,1699947321095,1,45,-1,0,{20;19;22},Node Completes Validation,1.0E8,0.0
2965,1699947321095,1,45,41,8,{20;19;22},Appended On Chain (parentless),1.0E8,0.0
3073,1699947321096,2,47,-1,0,{20;23;19},Node Completes Validation,1.0E8,0.0
3073,1699947321096,2,47,43,9,{20;23;19},Appended On Chain (parentless),1.0E8,0.0
3225,1699947321096,3,49,-1,0,{21;16},Node Completes Validation,1.0E8,0.0
3225,1699947321096,3,49,37,8,{21;16},Appended On Chain (parentless),1.0E8,0.0
3290,1699947321098,1,51,-1,0,{21;25;24},Node Completes Validation,1.0E8,0.0
3290,1699947321098,1,51,45,9,{21;25;24},Appended On Chain (parentless),1.0E8,0.0
3306,1699947321099,1,53,-1,0,{26;18},Node Completes Validation,1.0E8,0.0
3306,1699947321099,1,53,51,10,{26;18},Appended On Chain (parentless),1.0E8,0.0
3372,1699947321100,3,55,-1,0,{27;18},Node Completes Validation,1.0E8,0.0
3372,1699947321100,3,55,49,9,{27;18},Appended On Chain (parentless),1.0E8,0.0
3637,1699947321101,1,57,-1,0,{28;23;29},Node Completes Validation,1.0E8,0.0
3637,1699947321101,1,57,53,11,{28;23;29},Appended On Chain (parentless),1.0E8,0.0
3959,1699947321103,3,59,-1,0,{23;31;22},Node Completes Validation,1.0E8,0.0
3959,1699947321103,3,59,55,10,{23;31;22},Appended On Chain (parentless),1.0E8,0.0
4003,1699947321104,2,61,-1,0,{33;32;22},Node Completes Validation,1.0E8,0.0
4003,1699947321104,2,61,47,10,{33;32;22},Appended On Chain (parentless),1.0E8,0.0
4041,1699947321106,2,63,-1,0,{35;36;34},Node Completes Validation,1.0E8,0.0
4041,1699947321106,2,63,61,11,{35;36;34},Appended On Chain (parentless),1.0E8,0.0
4103,1699947321107,3,65,-1,0,{28;25;24},Node Completes Validation,1.0E8,0.0
4103,1699947321107,3,65,59,11,{28;25;24},Appended On Chain (parentless),1.0E8,0.0
4125,1699947321108,2,67,-1,0,{28;37;24},Node Completes Validation,1.0E8,0.0
4125,1699947321108,2,67,63,12,{28;37;24},Appended On Chain (parentless),1.0E8,0.0
4174,1699947321109,2,69,-1,0,{38;25},Node Completes Validation,1.0E8,0.0
4174,1699947321109,2,69,67,13,{38;25},Appended On Chain (parentless),1.0E8,0.0
4199,1699947321110,1,71,-1,0,{30;27},Node Completes Validation,1.0E8,0.0
4199,1699947321110,1,71,57,12,{30;27},Appended On Chain (parentless),1.0E8,0.0
4260,1699947321111,3,73,-1,0,{26;39},Node Completes Validation,1.0E8,0.0
4260,1699947321111,3,73,65,12,{26;39},Appended On Chain (parentless),1.0E8,0.0
4332,1699947321112,2,75,-1,0,{26;27},Node Completes Validation,1.0E8,0.0
4332,1699947321112,2,75,69,14,{26;27},Appended On Chain (parentless),1.0E8,0.0
4530,1699947321112,3,27,23,5,{13;11},Node Receives Propagated Block,-1.0,-1.0
4530,1699947321112,3,27,23,5,{13;11},Propagated Block Discarded,-1.0,-1.0
4641,1699947321114,3,77,-1,0,{30;40;29},Node Completes Validation,1.0E8,0.0
4641,1699947321114,3,77,73,13,{30;40;29},Appended On Chain (parentless),1.0E8,0.0
4663,1699947321114,1,19,15,4,{12;14},Node Receives Propagated Block,-1.0,-1.0
4663,1699947321114,1,19,15,4,{12;14},Propagated Block Discarded,-1.0,-1.0
4769,1699947321115,2,27,23,5,{13;11},Node Receives Propagated Block,-1.0,-1.0
4769,1699947321115,2,27,23,5,{13;11},Propagated Block Discarded,-1.0,-1.0
4789,1699947321115,1,7,3,2,{11;10},Node Receives Propagated Block,-1.0,-1.0
4789,1699947321115,1,7,3,2,{11;10},Propagated Block Discarded,-1.0,-1.0
4794,1699947321116,1,79,-1,0,{37;31;34},Node Completes Validation,1.0E8,0.0
4794,1699947321116,1,79,71,13,{37;31;34},Appended On Chain (parentless),1.0E8,0.0
4857,1699947321117,1,81,-1,0,{38;36;41},Node Completes Validation,1.0E8,0.0
4857,1699947321117,1,81,79,14,{38;36;41},Appended On Chain (parentless),1.0E8,0.0
4867,1699947321118,2,83,-1,0,{30;31;29},Node Completes Validation,1.0E8,0.0
4867,1699947321118,2,83,75,15,{30;31;29},Appended On Chain (parentless),1.0E8,0.0
4871,1699947321118,3,85,-1,0,{37;38;34},Node Completes Validation,1.0E8,0.0
4871,1699947321118,3,85,77,14,{37;38;34},Appended On Chain (parentless),1.0E8,0.0
4983,1699947321119,1,87,-1,0,{35;32},Node Completes Validation,1.0E8,0.0
4983,1699947321119,1,87,81,15,{35;32},Appended On Chain (parentless),1.0E8,0.0
5006,1699947321120,3,7,3,2,{11;10},Node Receives Propagated Block,-1.0,-1.0
5006,1699947321120,3,7,3,2,{11;10},Propagated Block Discarded,-1.0,-1.0
5011,1699947321120,1,89,-1,0,{39;42},Node Completes Validation,1.0E8,0.0
5011,1699947321120,1,89,87,16,{39;42},Appended On Chain (parentless),1.0E8,0.0
5038,1699947321121,3,91,-1,0,{35;36;32},Node Completes Validation,1.0E8,0.0
5038,1699947321121,3,91,85,15,{35;36;32},Appended On Chain (parentless),1.0E8,0.0
5111,1699947321122,1,25,19,5,{17;8},Node Receives Propagated Block,-1.0,-1.0
5111,1699947321122,1,25,19,5,{17;8},Propagated Block Discarded,-1.0,-1.0
5123,1699947321123,2,19,15,4,{12;14},Node Receives Propagated Block,-1.0,-1.0
5123,1699947321123,2,19,15,4,{12;14},Propagated Block Discarded,-1.0,-1.0
5245,1699947321123,1,1,-1,1,{1;2;3},Node Receives Propagated Block,-1.0,-1.0
5245,1699947321123,1,1,-1,1,{1;2;3},Propagated Block Discarded,-1.0,-1.0
5301,1699947321124,1,93,-1,0,{43;33;40},Node Completes Validation,1.0E8,0.0
5301,1699947321124,1,93,89,17,{43;33;40},Appended On Chain (parentless),1.0E8,0.0
5357,1699947321124,3,23,17,4,{8;9},Node Receives Propagated Block,-1.0,-1.0
5357,1699947321124,3,23,17,4,{8;9},Propagated Block Discarded,-1.0,-1.0
5454,1699947321125,1,15,5,3,{13;5;6},Node Receives Propagated Block,-1.0,-1.0
5454,1699947321125,1,15,5,3,{13;5;6},Propagated Block Discarded,-1.0,-1.0
5497,1699947321125,1,31,25,6,{11;10},Node Receives Propagated Block,-1.0,-1.0
5497,1699947321125,1,31,25,6,{11;10},Propagated Block Discarded,-1.0,-1.0
5540,1699947321126,2,95,-1,0,{39;45;40},Node Completes Validation,1.0E8,0.0
5540,1699947321126,2,95,83,16,{39;45;40},Appended On Chain (parentless),1.0E8,0.0
5611,1699947321126,2,25,19,5,{17;8},Node Receives Propagated Block,-1.0,-1.0
5611,1699947321126,2,25,19,5,{17;8},Propagated Block Discarded,-1.0,-1.0
5676,1699947321127,2,23,17,4,{8;9},Node Receives Propagated Block,-1.0,-1.0
5676,1699947321127,2,23,17,4,{8;9},Propagated Block Discarded,-1.0,-1.0
5678,1699947321128,3,11,9,2,{12;6;3},Node Receives Propagated Block,-1.0,-1.0
5678,1699947321128,3,11,9,2,{12;6;3},Propagated Block Discarded,-1.0,-1.0
5700,1699947321129,3,97,-1,0,{41;33},Node Completes Validation,1.0E8,0.0
5700,1699947321129,3,97,91,16,{41;33},Appended On Chain (parentless),1.0E8,0.0
5744,1699947321130,1,29,21,5,{16;9},Node Receives Propagated Block,-1.0,-1.0
5744,1699947321130,1,29,21,5,{16;9},Propagated Block Discarded,-1.0,-1.0
5770,1699947321132,1,99,-1,0,{44;46},Node Completes Validation,1.0E8,0.0
5770,1699947321132,1,99,93,18,{44;46},Appended On Chain (parentless),1.0E8,0.0
5814,1699947321135,1,3,-1,1,{5;8;6},Node Receives Propagated Block,-1.0,-1.0
5814,1699947321135,1,3,-1,1,{5;8;6},Propagated Block Discarded,-1.0,-1.0
5837,1699947321135,1,33,29,6,{13;18},Node Receives Propagated Block,-1.0,-1.0
5837,1699947321135,1,33,29,6,{13;18},Propagated Block Discarded,-1.0,-1.0
5866,1699947321136,3,41,35,7,{16;17},Node Receives Propagated Block,-1.0,-1.0
5866,1699947321136,3,41,35,7,{16;17},Propagated Block Discarded,-1.0,-1.0
5892,1699947321137,3,17,11,3,{15;7},Node Receives Propagated Block,-1.0,-1.0
5892,1699947321137,3,17,11,3,{15;7},Propagated Block Discarded,-1.0,-1.0
5964,1699947321137,1,39,33,7,{21;14},Node Receives Propagated Block,-1.0,-1.0
5964,1699947321137,1,39,33,7,{21;14},Propagated Block Discarded,-1.0,-1.0
5965,1699947321137,3,29,21,5,{16;9},Node Receives Propagated Block,-1.0,-1.0
5965,1699947321137,3,29,21,5,{16;9},Propagated Block Discarded,-1.0,-1.0
5999,1699947321138,2,101,-1,0,{41;42},Node Completes Validation,1.0E8,0.0
5999,1699947321138,2,101,95,17,{41;42},Appended On Chain (parentless),1.0E8,0.0
6005,1699947321138,2,1,-1,1,{1;2;3},Node Receives Propagated Block,-1.0,-1.0
6005,1699947321138,2,1,-1,1,{1;2;3},Propagated Block Discarded,-1.0,-1.0
6020,1699947321139,2,31,25,6,{11;10},Node Receives Propagated Block,-1.0,-1.0
6020,1699947321139,2,31,25,6,{11;10},Propagated Block Discarded,-1.0,-1.0
6037,1699947321139,3,103,-1,0,{43;42},Node Completes Validation,1.0E8,0.0
6037,1699947321139,3,103,97,17,{43;42},Appended On Chain (parentless),1.0E8,0.0
6046,1699947321139,3,33,29,6,{13;18},Node Receives Propagated Block,-1.0,-1.0
6046,1699947321139,3,33,29,6,{13;18},Propagated Block Discarded,-1.0,-1.0
6077,1699947321140,2,11,9,2,{12;6;3},Node Receives Propagated Block,-1.0,-1.0
6077,1699947321140,2,11,9,2,{12;6;3},Propagated Block Discarded,-1.0,-1.0
6093,1699947321140,2,15,5,3,{13;5;6},Node Receives Propagated Block,-1.0,-1.0
6093,1699947321140,2,15,5,3,{13;5;6},Propagated Block Discarded,-1.0,-1.0
6106,1699947321140,1,49,37,8,{21;16},Node Receives Propagated Block,-1.0,-1.0
6106,1699947321140,1,49,37,8,{21;16},Propagated Block Discarded,-1.0,-1.0
6107,1699947321141,3,3,-1,1,{5;8;6},Node Receives Propagated Block,-1.0,-1.0
6107,1699947321141,3,3,-1,1,{5;8;6},Propagated Block Discarded,-1.0,-1.0
6153,1699947321141,2,41,35,7,{16;17},Node Receives Propagated Block,-1.0,-1.0
6153,1699947321141,2,41,35,7,{16;17},Propagated Block Discarded,-1.0,-1.0
6159,1699947321141,3,39,33,7,{21;14},Node Receives Propagated Block,-1.0,-1.0
6159,1699947321141,3,39,33,7,{21;14},Propagated Block Discarded,-1.0,-1.0
6197,1699947321141,3,35,27,6,{14;10},Node Receives Propagated Block,-1.0,-1.0
6197,1699947321141,3,35,27,6,{14;10},Propagated Block Discarded,-1.0,-1.0
6268,1699947321142,3,105,-1,0,{44;48},Node Completes Validation,1.0E8,0.0
6268,1699947321142,3,105,103,18,{44;48},Appended On Chain (parentless),1.0E8,0.0
6282,1699947321142,2,17,11,3,{15;7},Node Receives Propagated Block,-1.0,-1.0
6282,1699947321142,2,17,11,3,{15;7},Propagated Block Discarded,-1.0,-1.0
6338,1699947321143,2,107,-1,0,{44;43},Node Completes Validation,1.0E8,0.0
6338,1699947321143,2,107,101,18,{44;43},Appended On Chain (parentless),1.0E8,0.0
6486,1699947321144,3,109,-1,0,{46;49;47},Node Completes Validation,1.0E8,0.0
6486,1699947321144,3,109,105,19,{46;49;47},Appended On Chain (parentless),1.0E8,0.0
6534,1699947321145,2,49,37,8,{21;16},Node Receives Propagated Block,-1.0,-1.0
6534,1699947321145,2,49,37,8,{21;16},Propagated Block Discarded,-1.0,-1.0
6543,1699947321145,2,35,27,6,{14;10},Node Receives Propagated Block,-1.0,-1.0
