NodeID, HashPower (GH/s), ElectricPower (W), ElectricityCost (USD/kWh), TotalCycles
1,13060.955,1386.7687,0.14744024,1.519277722693164E10
2,11528.597,1350.5317,0.06510195,2.126754012520703E10
3,10113.875,1416.3602,0.07063267,5.46729786425E9
4,16310.727,1402.4916,0.09510734,2.06583833491875E10
5,8617.818,1399.7588,0.13301323,7.715248389142578E9
6,12817.112,1357.7222,0.10584002,2.1928746173640625E10
7,10174.979,1362.6683,0.10461502,1.0367560333990234E10
8,12934.525,1367.5562,0.12177271,2.413295291426953E10
9,11353.527,1347.1465,0.055984054,5.0002523915703125E9
10,15013.952,1327.5645,0.095787935,2.6175519356963867E10
