SimTime, SysTime, NodeID, BlockID, ParentBlockID, Height, Concent, Place
39667358,1691542166878,1,48,46,14,{51;69;72;36}, blockchain
39667358,1691542166878,1,46,36,13,{79;73;17;16}, blockchain
39667358,1691542166878,1,36,34,12,{56;46;57;9;64}, blockchain
39667358,1691542166878,1,34,30,11,{82;10;24;86;85}, blockchain
39667358,1691542166878,1,30,26,10,{71;25;68;23;20}, blockchain
39667358,1691542166878,1,26,24,9,{97;38;28;37;35}, blockchain
39667358,1691542166878,1,24,22,8,{1;48;76;49;5}, blockchain
39667358,1691542166878,1,22,20,7,{21;81;54;62;61}, blockchain
39667358,1691542166878,1,20,18,6,{11;66;94;43;6}, blockchain
39667358,1691542166878,1,18,16,5,{87;18;14;90;34}, blockchain
39667358,1691542166878,1,16,14,4,{80;58;70;95;78;100}, blockchain
39667358,1691542166878,1,14,12,3,{77;40;63;47;53}, blockchain
39667358,1691542166878,1,12,10,2,{83;93;91;75;98}, blockchain
39667358,1691542166878,1,10,-1,1,{12;44;59;2;45;74;29}, blockchain
39667358,1691542166878,1,38,32,-1,{52;15;7;99;33}, orphans
39667358,1691542166878,1,40,38,-1,{84;30;26;8}, orphans
39667358,1691542166878,1,42,40,-1,{3;31;32;42}, orphans
39667358,1691542166878,1,44,42,-1,{4;55;65;22}, orphans
39667358,1691542166878,1,50,44,-1,{50;39;92;41;67}, orphans
39667358,1691542166878,1,52,50,-1,{19;13;27;96}, orphans
39667358,1691542166878,1,54,52,-1,{89;60;88}, orphans
39667358,1691542166878,2,54,52,18,{89;60;88}, blockchain
39667358,1691542166878,2,52,50,17,{19;13;27;96}, blockchain
39667358,1691542166878,2,50,44,16,{50;39;92;41;67}, blockchain
39667358,1691542166878,2,44,42,15,{4;55;65;22}, blockchain
39667358,1691542166878,2,42,40,14,{3;31;32;42}, blockchain
39667358,1691542166878,2,40,38,13,{84;30;26;8}, blockchain
39667358,1691542166878,2,38,32,12,{52;15;7;99;33}, blockchain
39667358,1691542166878,2,32,30,11,{82;10;24;86;85}, blockchain
39667358,1691542166878,2,30,26,10,{71;25;68;23;20}, blockchain
39667358,1691542166878,2,26,24,9,{97;38;28;37;35}, blockchain
39667358,1691542166878,2,24,22,8,{1;48;76;49;5}, blockchain
39667358,1691542166878,2,22,20,7,{21;81;54;62;61}, blockchain
39667358,1691542166878,2,20,18,6,{11;66;94;43;6}, blockchain
39667358,1691542166878,2,18,16,5,{87;18;14;90;34}, blockchain
39667358,1691542166878,2,16,14,4,{80;58;70;95;78;100}, blockchain
39667358,1691542166878,2,14,12,3,{77;40;63;47;53}, blockchain
39667358,1691542166878,2,12,10,2,{83;93;91;75;98}, blockchain
39667358,1691542166878,2,10,-1,1,{12;44;59;2;45;74;29}, blockchain
39667358,1691542166879,2,36,34,-1,{56;46;57;9;64}, orphans
39667358,1691542166879,2,46,36,-1,{79;73;17;16}, orphans
