NodeID, HashPower (GH/s), ElectricPower (W), ElectricityCost (USD/kWh), TotalCycles
1,13060.955,1386.7687,0.14744024,2.50537121086125E11
2,11528.597,1350.5317,0.06510195,5.665791092654492E10
3,10113.875,1416.3602,0.07063267,6.6486156578375E10
4,16310.727,1402.4916,0.09510734,3.974666680016094E11
5,8617.818,1399.7588,0.13301323,0.0
6,12817.112,1357.7222,0.10584002,3.0697103168870996E11
7,10174.979,1362.6683,0.10461502,6.749580138322656E10
8,12934.525,1367.5562,0.12177271,2.326334149011211E11
9,11353.527,1347.1465,0.055984054,0.0
10,15013.952,1327.5645,0.095787935,2.2693057178457227E11
