NodeID, HashPower (GH/s), ElectricPower (W), ElectricityCost (USD/kWh), TotalCycles
1,13060.955,1386.7687,0.14744024,1.0108569283866602E11
2,11528.597,1350.5317,0.06510195,2.1689434884998535E11
3,10113.875,1416.3602,0.07063267,1.39334254061875E11
4,16310.727,1402.4916,0.09510734,2.865767744332422E11
5,8617.818,1399.7588,0.13301323,1.4132327579829297E11
6,12817.112,1357.7222,0.10584002,1.8313789875269336E11
7,10174.979,1362.6683,0.10461502,3.2352066613904297E10
8,12934.525,1367.5562,0.12177271,1.914802304539375E11
9,11353.527,1347.1465,0.055984054,1.6462799710933203E11
10,15013.952,1327.5645,0.095787935,2.3582408633969922E11
