EventID, SimTime, SysTime, EventType, Node, Object
1,57,1701289383389,Event_NewTransactionArrival,3,1
2,118,1701289383433,Event_NewTransactionArrival,3,2
3,133,1701289383435,Event_NewTransactionArrival,3,3
4,139,1701289383436,Event_NewTransactionArrival,3,4
5,211,1701289383436,Event_NewTransactionArrival,2,5
6,220,1701289383436,Event_NewTransactionArrival,2,6
7,287,1701289383436,Event_NewTransactionArrival,3,7
8,633,1701289383437,Event_NewTransactionArrival,2,8
9,726,1701289383437,Event_NewTransactionArrival,3,9
10,820,1701289383437,Event_NewTransactionArrival,2,10
11,914,1701289383437,Event_TransactionPropagation,1,1
12,920,1701289383438,Event_TransactionPropagation,1,2
13,966,1701289383438,Event_NewTransactionArrival,2,11
14,983,1701289383438,Event_TransactionPropagation,1,4
15,983,1701289383438,Event_TransactionPropagation,1,5
16,994,1701289383438,Event_NewTransactionArrival,1,12
17,1027,1701289383438,Event_TransactionPropagation,3,5
18,1030,1701289383438,Event_TransactionPropagation,1,3
19,1039,1701289383439,Event_TransactionPropagation,2,2
20,1041,1701289383439,Event_TransactionPropagation,2,1
21,1104,1701289383439,Event_TransactionPropagation,1,6
22,1108,1701289383439,Event_TransactionPropagation,2,4
23,1154,1701289383439,Event_TransactionPropagation,3,6
24,1155,1701289383439,Event_NewTransactionArrival,3,13
25,1164,1701289383439,Event_TransactionPropagation,2,3
26,1270,1701289383439,Event_NewTransactionArrival,3,14
27,1395,1701289383440,Event_NewTransactionArrival,1,15
28,1410,1701289383440,Event_TransactionPropagation,1,7
29,1567,1701289383440,Event_TransactionPropagation,1,8
30,1571,1701289383440,Event_TransactionPropagation,3,12
31,1576,1701289383440,Event_TransactionPropagation,2,7
32,1620,1701289383440,Event_TransactionPropagation,3,8
33,1621,1701289383441,Event_TransactionPropagation,2,12
34,1678,1701289383441,Event_NewTransactionArrival,2,16
35,1697,1701289383441,Event_TransactionPropagation,1,9
36,1749,1701289383441,Event_NewTransactionArrival,3,17
37,1780,1701289383441,Event_TransactionPropagation,1,11
38,1781,1701289383441,Event_TransactionPropagation,1,13
39,1826,1701289383442,Event_TransactionPropagation,3,11
40,1841,1701289383442,Event_TransactionPropagation,2,9
41,1874,1701289383442,Event_TransactionPropagation,2,13
42,1918,1701289383442,Event_TransactionPropagation,1,10
43,1980,1701289383442,Event_TransactionPropagation,3,10
44,2136,1701289383442,Event_NewTransactionArrival,2,18
45,2207,1701289383442,Event_NewTransactionArrival,3,19
46,2239,1701289383442,Event_TransactionPropagation,1,14
47,2242,1701289383443,Event_NewTransactionArrival,3,20
48,2383,1701289383443,Event_TransactionPropagation,2,14
49,2513,1701289383443,Event_TransactionPropagation,3,15
50,2517,1701289383443,Event_NewTransactionArrival,2,21
51,2570,1701289383443,Event_TransactionPropagation,1,17
52,2574,1701289383443,Event_TransactionPropagation,1,16
53,2611,1701289383443,Event_TransactionPropagation,2,15
54,2625,1701289383444,Event_TransactionPropagation,3,16
55,2688,1701289383444,Event_NewTransactionArrival,1,22
56,2693,1701289383444,Event_TransactionPropagation,2,17
57,2785,1701289383444,Event_NewTransactionArrival,2,23
58,2816,1701289383444,Event_TransactionPropagation,1,19
59,2907,1701289383444,Event_TransactionPropagation,2,19
60,2965,1701289383444,Event_TransactionPropagation,1,20
61,3073,1701289383444,Event_TransactionPropagation,2,20
62,3187,1701289383445,Event_TransactionPropagation,1,21
63,3225,1701289383445,Event_TransactionPropagation,3,21
64,3233,1701289383445,Event_NewTransactionArrival,1,24
65,3290,1701289383445,Event_NewTransactionArrival,1,25
66,3293,1701289383445,Event_NewTransactionArrival,1,26
67,3306,1701289383445,Event_TransactionPropagation,1,18
68,3306,1701289383445,Event_NewTransactionArrival,3,27
69,3372,1701289383446,Event_TransactionPropagation,3,18
70,3490,1701289383446,Event_TransactionPropagation,3,22
71,3530,1701289383446,Event_NewTransactionArrival,1,28
72,3560,1701289383446,Event_TransactionPropagation,2,22
73,3616,1701289383446,Event_NewTransactionArrival,1,29
74,3637,1701289383447,Event_TransactionPropagation,1,23
75,3685,1701289383447,Event_TransactionPropagation,3,23
76,3949,1701289383447,Event_NewTransactionArrival,1,30
77,3959,1701289383447,Event_NewTransactionArrival,3,31
78,3978,1701289383447,Event_NewTransactionArrival,2,32
79,3991,1701289383448,Event_TransactionPropagation,3,24
80,4003,1701289383448,Event_NewTransactionArrival,2,33
81,4006,1701289383448,Event_NewTransactionArrival,2,34
82,4023,1701289383448,Event_NewTransactionArrival,2,35
83,4041,1701289383448,Event_NewTransactionArrival,2,36
84,4057,1701289383449,Event_TransactionPropagation,2,24
85,4077,1701289383449,Event_TransactionPropagation,3,28
86,4087,1701289383449,Event_NewTransactionArrival,2,37
87,4103,1701289383449,Event_TransactionPropagation,3,25
88,4125,1701289383449,Event_TransactionPropagation,2,28
89,4139,1701289383449,Event_NewTransactionArrival,2,38
90,4174,1701289383449,Event_TransactionPropagation,2,25
91,4182,1701289383450,Event_TransactionPropagation,3,26
92,4199,1701289383450,Event_TransactionPropagation,1,27
93,4260,1701289383450,Event_TransactionPropagation,2,26
94,4260,1701289383450,Event_NewTransactionArrival,3,39
95,4332,1701289383450,Event_TransactionPropagation,2,27
96,4364,1701289383451,Event_TransactionPropagation,3,29
97,4430,1701289383451,Event_TransactionPropagation,2,29
98,4607,1701289383451,Event_TransactionPropagation,3,30
99,4641,1701289383451,Event_NewTransactionArrival,3,40
100,4665,1701289383451,Event_TransactionPropagation,2,30
101,4735,1701289383452,Event_TransactionPropagation,1,34
102,4750,1701289383452,Event_TransactionPropagation,1,31
103,4777,1701289383452,Event_TransactionPropagation,3,34
104,4794,1701289383452,Event_TransactionPropagation,1,37
105,4832,1701289383452,Event_TransactionPropagation,1,38
106,4834,1701289383452,Event_TransactionPropagation,3,37
107,4852,1701289383453,Event_TransactionPropagation,1,36
108,4857,1701289383453,Event_NewTransactionArrival,1,41
109,4867,1701289383453,Event_TransactionPropagation,2,31
110,4871,1701289383453,Event_TransactionPropagation,3,38
111,4897,1701289383454,Event_TransactionPropagation,3,36
112,4972,1701289383454,Event_TransactionPropagation,1,32
113,4983,1701289383454,Event_TransactionPropagation,1,35
114,4991,1701289383454,Event_TransactionPropagation,1,39
115,5011,1701289383454,Event_NewTransactionArrival,1,42
116,5028,1701289383455,Event_TransactionPropagation,3,32
117,5032,1701289383455,Event_TransactionPropagation,1,33
118,5038,1701289383455,Event_TransactionPropagation,3,35
119,5090,1701289383455,Event_TransactionPropagation,3,33
120,5100,1701289383455,Event_TransactionPropagation,2,39
121,5233,1701289383455,Event_TransactionPropagation,1,40
122,5301,1701289383455,Event_NewTransactionArrival,1,43
123,5321,1701289383456,Event_TransactionPropagation,2,40
124,5468,1701289383456,Event_NewTransactionArrival,1,44
125,5540,1701289383456,Event_NewTransactionArrival,2,45
126,5700,1701289383456,Event_TransactionPropagation,3,41
127,5770,1701289383457,Event_NewTransactionArrival,1,46
128,5773,1701289383457,Event_TransactionPropagation,2,41
129,5800,1701289383457,Event_NewTransactionArrival,1,47
130,5920,1701289383458,Event_TransactionPropagation,3,42
131,5999,1701289383458,Event_TransactionPropagation,2,42
132,6037,1701289383458,Event_TransactionPropagation,3,43
133,6101,1701289383458,Event_TransactionPropagation,2,43
134,6209,1701289383458,Event_NewTransactionArrival,3,48
135,6268,1701289383458,Event_TransactionPropagation,3,44
136,6338,1701289383459,Event_TransactionPropagation,2,44
137,6369,1701289383459,Event_NewTransactionArrival,3,49
138,6442,1701289383459,Event_TransactionPropagation,1,45
139,6481,1701289383459,Event_TransactionPropagation,3,47
140,6486,1701289383459,Event_TransactionPropagation,3,46
141,6493,1701289383459,Event_TransactionPropagation,3,45
142,6540,1701289383459,Event_TransactionPropagation,2,47
143,6548,1701289383460,Event_TransactionPropagation,2,46
144,6819,1701289383460,Event_TransactionPropagation,1,48
145,6897,1701289383460,Event_NewTransactionArrival,3,50
146,6910,1701289383460,Event_TransactionPropagation,2,48
147,6970,1701289383460,Event_NewTransactionArrival,1,51
148,7095,1701289383460,Event_TransactionPropagation,1,49
149,7203,1701289383461,Event_TransactionPropagation,2,49
150,7232,1701289383461,Event_NewTransactionArrival,3,52
151,7360,1701289383461,Event_NewTransactionArrival,3,53
152,7420,1701289383461,Event_NewTransactionArrival,1,54
153,7494,1701289383461,Event_NewTransactionArrival,1,55
154,7559,1701289383461,Event_NewTransactionArrival,1,56
155,7578,1701289383462,Event_NewTransactionArrival,2,57
156,7726,1701289383462,Event_NewTransactionArrival,3,58
157,7745,1701289383462,Event_TransactionPropagation,1,50
158,7761,1701289383462,Event_NewTransactionArrival,1,59
159,7800,1701289383462,Event_TransactionPropagation,3,51
160,7830,1701289383463,Event_NewTransactionArrival,2,60
161,7871,1701289383463,Event_TransactionPropagation,2,50
162,7872,1701289383463,Event_TransactionPropagation,2,51
