NodeID, HashPower (GH/s), ElectricPower (W), ElectricityCost (USD/kWh), TotalCycles
1,13060.955,1386.7687,0.14744024,2.1995432008867188E9
2,11528.597,1350.5317,0.06510195,2.9283096710273438E9
3,10113.875,1416.3602,0.07063267,1.827526643125E9
4,16310.727,1402.4916,0.09510734,2.3371803198671875E9
5,8617.818,1399.7588,0.13301323,1.7384466441816406E9
6,12817.112,1357.7222,0.10584002,3.0048950771601562E9
7,10174.979,1362.6683,0.10461502,1.9494343087871094E9
8,12934.525,1367.5562,0.12177271,3.288641884142578E9
9,11353.527,1347.1465,0.055984054,2.6156483365078125E9
10,15013.952,1327.5645,0.095787935,3.9236561707597656E9
