SimTime, SysTime, NodeID, BlockID, ParentID, Height, BlockContent, EvtType, Difficulty, Cycles
96800,1691542800440,3,3,-1,0,{21;13;53;28;54;60},Node Completes Validation,1.0E16,9.77677954625E8
103358,1691542800442,1,3,-1,1,{21;13;53;28;54;60},Node Receives Propagated Block,-1.0,-1.0
104333,1691542800442,2,3,-1,1,{21;13;53;28;54;60},Node Receives Propagated Block,-1.0,-1.0
300034,1691542800442,1,5,-1,0,{82;63;30;11;94},Node Completes Validation,1.0E16,3.9058916770683594E9
300034,1691542800442,1,5,3,2,{82;63;30;11;94},Appended On Chain (parentless),1.0E16,3.9058916770683594E9
306225,1691542800444,3,5,3,2,{82;63;30;11;94},Node Receives Propagated Block,-1.0,-1.0
306225,1691542800444,3,5,3,2,{82;63;30;11;94},Appended On Chain (w/ parent),-1.0,-1.0
306765,1691542800444,2,5,3,2,{82;63;30;11;94},Node Receives Propagated Block,-1.0,-1.0
306765,1691542800444,2,5,3,2,{82;63;30;11;94},Appended On Chain (w/ parent),-1.0,-1.0
698806,1691542800444,3,7,-1,0,{72;26;37;73;87},Node Completes Validation,1.0E16,6.08861343325E9
698806,1691542800444,3,7,5,3,{72;26;37;73;87},Appended On Chain (parentless),1.0E16,6.08861343325E9
706136,1691542800444,1,7,5,3,{72;26;37;73;87},Node Receives Propagated Block,-1.0,-1.0
706136,1691542800444,1,7,5,3,{72;26;37;73;87},Appended On Chain (w/ parent),-1.0,-1.0
707226,1691542800445,2,7,5,3,{72;26;37;73;87},Node Receives Propagated Block,-1.0,-1.0
707226,1691542800445,2,7,5,3,{72;26;37;73;87},Appended On Chain (w/ parent),-1.0,-1.0
1142393,1691542800445,1,9,-1,0,{16;77;52;38;44},Node Completes Validation,1.0E16,1.1002013058654297E10
1142393,1691542800445,1,9,7,4,{16;77;52;38;44},Appended On Chain (parentless),1.0E16,1.1002013058654297E10
1149955,1691542800445,3,9,7,4,{16;77;52;38;44},Node Receives Propagated Block,-1.0,-1.0
1149955,1691542800445,3,9,7,4,{16;77;52;38;44},Appended On Chain (w/ parent),-1.0,-1.0
1150615,1691542800445,2,9,7,4,{16;77;52;38;44},Node Receives Propagated Block,-1.0,-1.0
1150615,1691542800445,2,9,7,4,{16;77;52;38;44},Appended On Chain (w/ parent),-1.0,-1.0
1207788,1691542800446,1,11,-1,0,{93;46;35;91;49},Node Completes Validation,1.0E16,8.541211573339844E8
1207788,1691542800446,1,11,9,5,{93;46;35;91;49},Appended On Chain (parentless),1.0E16,8.541211573339844E8
1215404,1691542800447,3,11,9,5,{93;46;35;91;49},Node Receives Propagated Block,-1.0,-1.0
1215404,1691542800447,3,11,9,5,{93;46;35;91;49},Appended On Chain (w/ parent),-1.0,-1.0
1216068,1691542800448,2,11,9,5,{93;46;35;91;49},Node Receives Propagated Block,-1.0,-1.0
1216068,1691542800448,2,11,9,5,{93;46;35;91;49},Appended On Chain (w/ parent),-1.0,-1.0
2365104,1691542800448,1,13,-1,0,{48;17;43;25;76},Node Completes Validation,1.0E16,1.5115652287195312E10
2365104,1691542800448,1,13,11,6,{48;17;43;25;76},Appended On Chain (parentless),1.0E16,1.5115652287195312E10
2367864,1691542800449,1,15,-1,0,{70;12;78;62;99;20},Node Completes Validation,1.0E16,3.6048236015625E7
2367864,1691542800449,1,15,13,7,{70;12;78;62;99;20},Appended On Chain (parentless),1.0E16,3.6048236015625E7
2372556,1691542800450,3,13,11,6,{48;17;43;25;76},Node Receives Propagated Block,-1.0,-1.0
2372556,1691542800450,3,13,11,6,{48;17;43;25;76},Appended On Chain (w/ parent),-1.0,-1.0
2373206,1691542800450,2,13,11,6,{48;17;43;25;76},Node Receives Propagated Block,-1.0,-1.0
2373206,1691542800450,2,13,11,6,{48;17;43;25;76},Appended On Chain (w/ parent),-1.0,-1.0
2376239,1691542800450,3,15,13,7,{70;12;78;62;99;20},Node Receives Propagated Block,-1.0,-1.0
2376239,1691542800450,3,15,13,7,{70;12;78;62;99;20},Appended On Chain (w/ parent),-1.0,-1.0
2376970,1691542800450,2,15,13,7,{70;12;78;62;99;20},Node Receives Propagated Block,-1.0,-1.0
2376970,1691542800450,2,15,13,7,{70;12;78;62;99;20},Appended On Chain (w/ parent),-1.0,-1.0
2958274,1691542800451,3,17,-1,0,{55;86;57;95;90},Node Completes Validation,1.0E16,2.28519769185E10
2958274,1691542800451,3,17,15,8,{55;86;57;95;90},Appended On Chain (parentless),1.0E16,2.28519769185E10
2966009,1691542800451,1,17,15,8,{55;86;57;95;90},Node Receives Propagated Block,-1.0,-1.0
2966009,1691542800451,1,17,15,8,{55;86;57;95;90},Appended On Chain (w/ parent),-1.0,-1.0
2967159,1691542800451,2,17,15,8,{55;86;57;95;90},Node Receives Propagated Block,-1.0,-1.0
2967159,1691542800451,2,17,15,8,{55;86;57;95;90},Appended On Chain (w/ parent),-1.0,-1.0
3518590,1691542800451,1,19,-1,0,{39;14;36;59},Node Completes Validation,1.0E16,1.5029580593230469E10
3518590,1691542800451,1,19,17,9,{39;14;36;59},Appended On Chain (parentless),1.0E16,1.5029580593230469E10
3525760,1691542800452,3,19,17,9,{39;14;36;59},Node Receives Propagated Block,-1.0,-1.0
3525760,1691542800452,3,19,17,9,{39;14;36;59},Appended On Chain (w/ parent),-1.0,-1.0
3526385,1691542800452,2,19,17,9,{39;14;36;59},Node Receives Propagated Block,-1.0,-1.0
3526385,1691542800452,2,19,17,9,{39;14;36;59},Appended On Chain (w/ parent),-1.0,-1.0
3897018,1691542800453,1,21,-1,0,{61;71;5;79;41},Node Completes Validation,1.0E16,4.9426311083046875E9
3897018,1691542800453,1,21,19,10,{61;71;5;79;41},Appended On Chain (parentless),1.0E16,4.9426311083046875E9
3904881,1691542800453,3,21,19,10,{61;71;5;79;41},Node Receives Propagated Block,-1.0,-1.0
3904881,1691542800453,3,21,19,10,{61;71;5;79;41},Appended On Chain (w/ parent),-1.0,-1.0
3905567,1691542800453,2,21,19,10,{61;71;5;79;41},Node Receives Propagated Block,-1.0,-1.0
3905567,1691542800453,2,21,19,10,{61;71;5;79;41},Appended On Chain (w/ parent),-1.0,-1.0
4039061,1691542800454,1,23,-1,0,{1;27;42;84},Node Completes Validation,1.0E16,1.8552172421621094E9
4039061,1691542800454,1,23,21,11,{1;27;42;84},Appended On Chain (parentless),1.0E16,1.8552172421621094E9
4046122,1691542800454,3,23,21,11,{1;27;42;84},Node Receives Propagated Block,-1.0,-1.0
4046122,1691542800454,3,23,21,11,{1;27;42;84},Appended On Chain (w/ parent),-1.0,-1.0
4046738,1691542800454,2,23,21,11,{1;27;42;84},Node Receives Propagated Block,-1.0,-1.0
4046738,1691542800454,2,23,21,11,{1;27;42;84},Appended On Chain (w/ parent),-1.0,-1.0
4418782,1691542800454,3,25,-1,0,{18;45;8;10},Node Completes Validation,1.0E16,1.47713953485E10
4418782,1691542800454,3,25,23,12,{18;45;8;10},Appended On Chain (parentless),1.0E16,1.47713953485E10
4425912,1691542800455,1,25,23,12,{18;45;8;10},Node Receives Propagated Block,-1.0,-1.0
4425912,1691542800455,1,25,23,12,{18;45;8;10},Appended On Chain (w/ parent),-1.0,-1.0
4426973,1691542800455,2,25,23,12,{18;45;8;10},Node Receives Propagated Block,-1.0,-1.0
4426973,1691542800455,2,25,23,12,{18;45;8;10},Appended On Chain (w/ parent),-1.0,-1.0
4789921,1691542800455,1,27,-1,0,{83;97;85;88;58},Node Completes Validation,1.0E16,9.806948729960938E9
4789921,1691542800455,1,27,25,13,{83;97;85;88;58},Appended On Chain (parentless),1.0E16,9.806948729960938E9
4797591,1691542800456,3,27,25,13,{83;97;85;88;58},Node Receives Propagated Block,-1.0,-1.0
4797591,1691542800456,3,27,25,13,{83;97;85;88;58},Appended On Chain (w/ parent),-1.0,-1.0
4798260,1691542800456,2,27,25,13,{83;97;85;88;58},Node Receives Propagated Block,-1.0,-1.0
4798260,1691542800456,2,27,25,13,{83;97;85;88;58},Appended On Chain (w/ parent),-1.0,-1.0
4874468,1691542800457,1,29,-1,0,{67;33;47;32;23},Node Completes Validation,1.0E16,1.1042645689902344E9
4874468,1691542800457,1,29,27,14,{67;33;47;32;23},Appended On Chain (parentless),1.0E16,1.1042645689902344E9
4882424,1691542800457,3,29,27,14,{67;33;47;32;23},Node Receives Propagated Block,-1.0,-1.0
4882424,1691542800457,3,29,27,14,{67;33;47;32;23},Appended On Chain (w/ parent),-1.0,-1.0
4883118,1691542800458,2,29,27,14,{67;33;47;32;23},Node Receives Propagated Block,-1.0,-1.0
4883118,1691542800458,2,29,27,14,{67;33;47;32;23},Appended On Chain (w/ parent),-1.0,-1.0
4962768,1691542800458,1,31,-1,0,{69;4;19;56;65},Node Completes Validation,1.0E16,1.1532823333984375E9
4962768,1691542800458,1,31,29,15,{69;4;19;56;65},Appended On Chain (parentless),1.0E16,1.1532823333984375E9
4971025,1691542800458,3,31,29,15,{69;4;19;56;65},Node Receives Propagated Block,-1.0,-1.0
4971025,1691542800458,3,31,29,15,{69;4;19;56;65},Appended On Chain (w/ parent),-1.0,-1.0
4971745,1691542800458,2,31,29,15,{69;4;19;56;65},Node Receives Propagated Block,-1.0,-1.0
4971745,1691542800458,2,31,29,15,{69;4;19;56;65},Appended On Chain (w/ parent),-1.0,-1.0
5478658,1691542800459,2,33,-1,0,{15;40;81;9},Node Completes Validation,1.0E16,6.315394082624512E10
5478658,1691542800459,2,33,31,16,{15;40;81;9},Appended On Chain (parentless),1.0E16,6.315394082624512E10
5484921,1691542800459,1,33,31,16,{15;40;81;9},Node Receives Propagated Block,-1.0,-1.0
5484921,1691542800459,1,33,31,16,{15;40;81;9},Appended On Chain (w/ parent),-1.0,-1.0
5485275,1691542800459,3,33,31,16,{15;40;81;9},Node Receives Propagated Block,-1.0,-1.0
5485275,1691542800459,3,33,31,16,{15;40;81;9},Appended On Chain (w/ parent),-1.0,-1.0
5497729,1691542800460,2,35,-1,0,{64;75;98;74},Node Completes Validation,1.0E16,2.198618672783203E8
5497729,1691542800460,2,35,33,17,{64;75;98;74},Appended On Chain (parentless),1.0E16,2.198618672783203E8
5505908,1691542800460,1,35,33,17,{64;75;98;74},Node Receives Propagated Block,-1.0,-1.0
5505908,1691542800460,1,35,33,17,{64;75;98;74},Appended On Chain (w/ parent),-1.0,-1.0
5506370,1691542800460,3,35,33,17,{64;75;98;74},Node Receives Propagated Block,-1.0,-1.0
5506370,1691542800460,3,35,33,17,{64;75;98;74},Appended On Chain (w/ parent),-1.0,-1.0
5682517,1691542800460,2,37,-1,0,{2;6;31;22;89},Node Completes Validation,1.0E16,2.1303463232460938E9
5682517,1691542800460,2,37,35,18,{2;6;31;22;89},Appended On Chain (parentless),1.0E16,2.1303463232460938E9
5691155,1691542800461,1,37,35,18,{2;6;31;22;89},Node Receives Propagated Block,-1.0,-1.0
5691155,1691542800461,1,37,35,18,{2;6;31;22;89},Appended On Chain (w/ parent),-1.0,-1.0
