NodeID, HashPower (GH/s), ElectricPower (W), ElectricityCost (USD/kWh), TotalCycles
1,13060.955,1386.7687,0.14744024,9.296786518513867E10
2,11528.597,1350.5317,0.06510195,6.858351789009082E10
3,10113.875,1416.3602,0.07063267,6.3465405076625E10
