SimTime, SysTime, NodeID, BlockID, ParentID, Height, BlockContent, EvtType, Difficulty, Cycles
3429,1701358876337,1,3,-1,0,{21;13;11;26;16},Node Completes Validation,1.0E17,1.223E11
4113,1701358876343,1,5,-1,0,{28;30;17;25;12;20},Node Completes Validation,1.0E17,3.42E10
4113,1701358876343,1,5,3,2,{28;30;17;25;12;20},Appended On Chain (parentless),1.0E17,3.42E10
4277,1701358876345,1,7,-1,0,{14;5;1;27},Node Completes Validation,1.0E17,8.2E9
4277,1701358876345,1,7,5,3,{14;5;1;27},Appended On Chain (parentless),1.0E17,8.2E9
8825,1701358876364,1,9,-1,0,{53;54;60;63;37},Node Completes Validation,1.0E17,2.274E11
8825,1701358876364,1,9,7,4,{53;54;60;63;37},Appended On Chain (parentless),1.0E17,2.274E11
9612,1701358876369,1,11,-1,0,{72;52;38;44;46},Node Completes Validation,1.0E17,3.935E10
9612,1701358876369,1,11,9,5,{72;52;38;44;46},Appended On Chain (parentless),1.0E17,3.935E10
9635,1701358876370,3,3,-1,1,{21;13;11;26;16},Node Receives Propagated Block,-1.0,-1.0
10176,1701358876372,2,3,-1,1,{21;13;11;26;16},Node Receives Propagated Block,-1.0,-1.0
11319,1701358876376,3,7,5,3,{14;5;1;27},Node Receives Propagated Block,-1.0,-1.0
11319,1701358876376,3,7,5,-1,{14;5;1;27},Added to Orphans,-1.0,-1.0
11933,1701358876378,2,7,5,3,{14;5;1;27},Node Receives Propagated Block,-1.0,-1.0
11933,1701358876378,2,7,5,-1,{14;5;1;27},Added to Orphans,-1.0,-1.0
12156,1701358876379,3,5,3,2,{28;30;17;25;12;20},Node Receives Propagated Block,-1.0,-1.0
12156,1701358876379,3,5,3,2,{28;30;17;25;12;20},Appended On Chain (w/ parent),-1.0,-1.0
11933,1701358876378,2,7,5,3,{14;5;1;27},Appended On Chain (w/ parent),-1.0,-1.0
12858,1701358876381,2,5,3,2,{28;30;17;25;12;20},Node Receives Propagated Block,-1.0,-1.0
12858,1701358876381,2,5,3,2,{28;30;17;25;12;20},Appended On Chain (w/ parent),-1.0,-1.0
11933,1701358876378,2,7,5,3,{14;5;1;27},Appended On Chain (w/ parent),-1.0,-1.0
13254,1701358876382,1,13,-1,0,{82;94;73;87;77},Node Completes Validation,1.0E17,1.821E11
13254,1701358876382,1,13,11,6,{82;94;73;87;77},Appended On Chain (parentless),1.0E17,1.821E11
16083,1701358876384,3,9,7,4,{53;54;60;63;37},Node Receives Propagated Block,-1.0,-1.0
16083,1701358876384,3,9,7,4,{53;54;60;63;37},Appended On Chain (w/ parent),-1.0,-1.0
16716,1701358876384,2,9,7,4,{53;54;60;63;37},Node Receives Propagated Block,-1.0,-1.0
16716,1701358876384,2,9,7,4,{53;54;60;63;37},Appended On Chain (w/ parent),-1.0,-1.0
17253,1701358876385,3,11,9,5,{72;52;38;44;46},Node Receives Propagated Block,-1.0,-1.0
17253,1701358876385,3,11,9,5,{72;52;38;44;46},Appended On Chain (w/ parent),-1.0,-1.0
17919,1701358876385,2,11,9,5,{72;52;38;44;46},Node Receives Propagated Block,-1.0,-1.0
17919,1701358876385,2,11,9,5,{72;52;38;44;46},Appended On Chain (w/ parent),-1.0,-1.0
18613,1701358876386,1,15,-1,0,{93;35;91;49;48},Node Completes Validation,1.0E17,2.6795E11
18613,1701358876386,1,15,13,7,{93;35;91;49;48},Appended On Chain (parentless),1.0E17,2.6795E11
20642,1701358876387,3,13,11,6,{82;94;73;87;77},Node Receives Propagated Block,-1.0,-1.0
20642,1701358876387,3,13,11,6,{82;94;73;87;77},Appended On Chain (w/ parent),-1.0,-1.0
21286,1701358876387,2,13,11,6,{82;94;73;87;77},Node Receives Propagated Block,-1.0,-1.0
21286,1701358876387,2,13,11,6,{82;94;73;87;77},Appended On Chain (w/ parent),-1.0,-1.0
22891,1701358876388,1,17,-1,0,{43;76;70;78;62},Node Completes Validation,1.0E17,2.139E11
22891,1701358876388,1,17,15,8,{43;76;70;78;62},Appended On Chain (parentless),1.0E17,2.139E11
