NodeID, HashPower (GH/s), ElectricPower (W), ElectricityCost (USD/kWh), TotalCycles
1,13060.955,1386.7687,0.14744024,5.556985260353789E11
2,11528.597,1350.5317,0.06510195,5.549764874664814E11
3,10113.875,1416.3602,0.07063267,4.78371126801375E11
