SimTime, SysTime, NodeID, BlockID, ParentID, Height, BlockContent, EvtType, Difficulty, Cycles
1842408,1700155308402,1,3,-1,0,{21;13;53;28;54;60},Node Completes Validation,1.0E17,2.405076920473633E10
1848912,1700155308407,3,3,-1,1,{21;13;53;28;54;60},Node Receives Propagated Block,-1.0,-1.0
1849480,1700155308408,2,3,-1,1,{21;13;53;28;54;60},Node Receives Propagated Block,-1.0,-1.0
4467704,1700155308408,3,5,-1,0,{21;13;53;28;54;60},Node Completes Validation,1.0E17,4.5184454647625E10
4467704,1700155308408,3,5,-1,0,{21;13;53;28;54;60},Discarding own Block (ERROR),1.0E17,4.5184454647625E10
8870021,1700155308409,2,7,-1,0,{21;13;53;28;54;60},Node Completes Validation,1.0E17,1.0225159704766016E11
8870021,1700155308409,2,7,-1,0,{21;13;53;28;54;60},Discarding own Block (ERROR),1.0E17,1.0225159704766016E11
10831858,1700155308410,3,9,-1,0,{82;63;30;11;94},Node Completes Validation,1.0E17,6.436625803675E10
10831858,1700155308410,3,9,3,2,{82;63;30;11;94},Appended On Chain (parentless),1.0E17,6.436625803675E10
10839234,1700155308412,1,9,3,2,{82;63;30;11;94},Node Receives Propagated Block,-1.0,-1.0
10839234,1700155308412,1,9,3,2,{82;63;30;11;94},Appended On Chain (w/ parent),-1.0,-1.0
10840331,1700155308413,2,9,3,2,{82;63;30;11;94},Node Receives Propagated Block,-1.0,-1.0
10840331,1700155308413,2,9,3,2,{82;63;30;11;94},Appended On Chain (w/ parent),-1.0,-1.0
16920635,1700155308413,3,11,-1,0,{72;26;37;73;87},Node Completes Validation,1.0E17,6.1581129480875E10
16920635,1700155308413,3,11,9,3,{72;26;37;73;87},Appended On Chain (parentless),1.0E17,6.1581129480875E10
16927919,1700155308414,1,11,9,3,{72;26;37;73;87},Node Receives Propagated Block,-1.0,-1.0
16927919,1700155308414,1,11,9,3,{72;26;37;73;87},Appended On Chain (w/ parent),-1.0,-1.0
16929002,1700155308415,2,11,9,3,{72;26;37;73;87},Node Receives Propagated Block,-1.0,-1.0
