NodeID, HashPower (GH/s), ElectricPower (W), ElectricityCost (USD/kWh), TotalCycles
1,13060.955,1386.7687,0.14744024,1.7522339623430078E11
2,11528.597,1350.5317,0.06510195,1.4740260811346875E11
3,10113.875,1416.3602,0.07063267,6.53526642655E10
4,16310.727,1402.4916,0.09510734,2.2961069744520312E11
5,8617.818,1399.7588,0.13301323,4.31321550352168E10
6,12817.112,1357.7222,0.10584002,1.948135062184131E11
7,10174.979,1362.6683,0.10461502,1.374942811820703E11
8,12934.525,1367.5562,0.12177271,1.8106025440640234E11
9,11353.527,1347.1465,0.055984054,8.169252349816016E10
10,15013.952,1327.5645,0.095787935,1.8928160039110254E11
